Text,Metric
"Ministers have connected from across the globe to discuss trade, economic recovery and technical cooperation during the final APEC Ministerial meeting of New Zealand’s host year.Co-chaired by Foreign Affairs Minister, Nanaia Mahuta, and Trade and Export Growth Minister, Damien O’Connor, discussions were focused on resilient recovery from COVID-19 in the Asia-Pacific region.“APEC Ministers have recognised the need for a COVID recovery that ensures no one is left behind.",Long Sentence
"This particularly includes women and indigenous peoples who are most negatively impacted by the global pandemic,” Nanaia Mahuta said.“It is also important that APEC continues to emphasise its strong support for global climate commitments and a low-emission, climate-resilient future for the region.“I was pleased that we could agree to a plan to halt the increase of harmful fossil fuel subsidies – which drive environmental degradation and contribute to climate change,” Nanaia Mahuta said.Minister Damien O’Connor also said that real progress had been made under New Zealand’s leadership of APEC“Since trade Ministers discussed vaccine supply chains in June, most APEC economies have made access to vaccines easier by lowering tariffs, rejecting export restrictions, and getting vaccines through ports faster.“Ministers agreed it is essential APEC supports the WTO in achieving an ambitious set of outcomes as we re-stabilise it in December.",Long Sentence
"Free, fair and open trade will get us all through the pandemic,” Damien O’Connor said.In hosting APEC, New Zealand’s priorities have been:Agreement on economic and trade policies to strengthen the COVID-19 recovery;Increasing inclusion and sustainability for a more resilient recovery, andPursuing innovation and a digitally enabled recovery.The APEC Ministerial Meeting is one of the major events in the series of events held during 8-13 November hosted by New Zealand.",Long Sentence
connected,Passive Voice
focused,Passive Voice
recognised,Passive Voice
left,Passive Voice
impacted,Passive Voice
been,Passive Voice
made,Passive Voice
made,Passive Voice
easier,Passive Voice
been,Passive Voice
enabled,Passive Voice
held,Passive Voice
hosted,Passive Voice
Ministers,Complex Word
connected,Complex Word
economic,Complex Word
recovery,Complex Word
technical,Complex Word
cooperation,Complex Word
Ministerial,Complex Word
Minister,Complex Word
Minister,Complex Word
Damien,Complex Word
discussions,Complex Word
resilient,Complex Word
recovery,Complex Word
Asia-Pacific,Complex Word
Ministers,Complex Word
recovery,Complex Word
particularly,Complex Word
indigenous,Complex Word
negatively,Complex Word
impacted,Complex Word
pandemic,Complex Word
important,Complex Word
continues,Complex Word
emphasise,Complex Word
commitments,Complex Word
low-emission,Complex Word
climate-resilient,Complex Word
subsidies,Complex Word
environmental,Complex Word
degradation,Complex Word
contribute,Complex Word
said.Minister,Complex Word
Damien,Complex Word
leadership,Complex Word
Ministers,Complex Word
economies,Complex Word
easier,Complex Word
lowering,Complex Word
rejecting,Complex Word
restrictions,Complex Word
Ministers,Complex Word
essential,Complex Word
achieving,Complex Word
ambitious,Complex Word
December,Complex Word
benefit,Complex Word
pandemic,Complex Word
Damien,Complex Word
priorities,Complex Word
Agreement,Complex Word
economic,Complex Word
policies,Complex Word
recovery,Complex Word
Increasing,Complex Word
inclusion,Complex Word
sustainability,Complex Word
resilient,Complex Word
recovery,Complex Word
andPursuing,Complex Word
innovation,Complex Word
digitally,Complex Word
enabled,Complex Word
recovery.The,Complex Word
Ministerial,Complex Word
November,Complex Word
