Text,Metric
"This will directly support Pacific community-led initiatives to encourage boosters and child vaccinations, said the Associate Minister of Health Aupito William Sio.“The vaccine plays an important part in our preparations for Omicron.",Long Sentence
We need to ensure our 5–11-year-old Pacific children are vaccinated and that all of our eligible Pacific peoples get their booster when they become due.,Long Sentence
It’s critical that we vaccinate our children before the coming winter .“We’ve seen overseas how fast Omicron can overwhelm health care systems and impact essential services.,Long Sentence
Vaccination is the first step our families can take to prepare for Omicron.“The Pacific community’s response to vaccinations has been excellent.,Long Sentence
"National vaccination figures show that 97 percent have received their first dose, and 94 percent are fully vaccinated with two doses.“However, data for booster uptake shows Pacific rates are still low in comparison with other communities in Aotearoa.Only 32 percent of Pacific people due for a booster have received one so far compared to 42 percent of Māori.“It’s important our Pacific communities continue with their great response to vaccinations.",Long Sentence
"This top up of the Prepare Pacific Community Vaccination Fund will ensure our communities have the resources to achieve the high vaccination rates we need to keep safe,” said Aupito William Sio.Pacific community groups predominantly in Tāmaki Makauraucan apply for funding although groups from around Aotearoa are welcome to apply.Community groups, Pacific churches, Pacific youth groups and other groups that work with marginalised Pacific communities will be eligible to apply for up to $40,000.The Prepare Pacific Community Vaccination Fund,which is being managed by The Cause Collective, will run until 30 June 2022 or when funds have been fully distributed.“Through this fund we are asking our Pacific communities to prepare for Omicron by getting your booster and vaccinating our young children.",Long Sentence
"We’ve met the challenge many times before, we must meet it again,” said Aupito William Sio.Editors notesThe Cause Collective is a social change organisation focused on the wellbeing of Pacific peoples and South Auckland communities.www.thecausecollective.org.nzThe organisation runs the Prepare Pacific campaign for the Northern Region’s District Health Boards Covid-19 Pacific Response in Auckland.www.preparepacific.nzandhttps://www.facebook.com/preparepacific",Long Sentence
vaccinated,Passive Voice
seen,Passive Voice
been,Passive Voice
received,Passive Voice
vaccinated,Passive Voice
received,Passive Voice
compared,Passive Voice
managed,Passive Voice
been,Passive Voice
Government,Complex Word
providing,Complex Word
Pacific,Complex Word
Community,Complex Word
Vaccination,Complex Word
directly,Complex Word
Pacific,Complex Word
community-led,Complex Word
initiatives,Complex Word
encourage,Complex Word
vaccinations,Complex Word
Associate,Complex Word
Minister,Complex Word
important,Complex Word
preparations,Complex Word
Pacific,Complex Word
vaccinated,Complex Word
eligible,Complex Word
Pacific,Complex Word
critical,Complex Word
vaccinate,Complex Word
overseas,Complex Word
overwhelm,Complex Word
essential,Complex Word
services,Complex Word
Vaccination,Complex Word
families,Complex Word
Pacific,Complex Word
community,Complex Word
vaccinations,Complex Word
excellent,Complex Word
National,Complex Word
vaccination,Complex Word
vaccinated,Complex Word
However,Complex Word
Pacific,Complex Word
comparison,Complex Word
communities,Complex Word
Pacific,Complex Word
important,Complex Word
Pacific,Complex Word
communities,Complex Word
continue,Complex Word
vaccinations,Complex Word
Pacific,Complex Word
Community,Complex Word
Vaccination,Complex Word
communities,Complex Word
resources,Complex Word
vaccination,Complex Word
Sio.Pacific,Complex Word
community,Complex Word
predominantly,Complex Word
Tāmaki,Complex Word
Makauraucan,Complex Word
apply.Community,Complex Word
Pacific,Complex Word
Pacific,Complex Word
Pacific,Complex Word
communities,Complex Word
eligible,Complex Word
Pacific,Complex Word
Community,Complex Word
Vaccination,Complex Word
Collective,Complex Word
distributed.,Complex Word
Pacific,Complex Word
communities,Complex Word
vaccinating,Complex Word
Sio.Editors,Complex Word
Collective,Complex Word
organisation,Complex Word
wellbeing,Complex Word
Pacific,Complex Word
communities.www.thecausecollective.org.nzThe,Complex Word
organisation,Complex Word
Pacific,Complex Word
Pacific,Complex Word
Auckland.www.preparepacific.nzandhttps,Complex Word
//www.facebook.com/preparepacific,Complex Word
