Text,Metric
A further NZ$12 million of support for Fiji’s COVID-19 response has been announced by Foreign Minister Hon Nanaia Mahuta today.,Long Sentence
"The package builds on previous tranches of assistance Aotearoa New Zealand has provided to Fiji, totalling over NZ$50 million.“Fiji remains in a very challenging position in their response to COVID-19 and our continued thoughts are with the Fijian people at this time,” Nanaia Mahuta said.",Long Sentence
"“This latest package of support will continue our efforts to assist the Government of Fiji and civil society partners to assist the most vulnerable communities impacted by COVID-19 over the next 12 months.”The new package will support ongoing equipment and supply needs, including testing capacity, oxygen supply and Personal Protective Equipment (PPE) stocks.",Long Sentence
"It will also be directed towards urgent and essential operations costs, including funding for technical assistance, surge support for Government operations, and support for monitoring of community isolation cases.New Zealand will also contribute NZ$1 million to the International Red Cross Global Appeal for COVID-19 tagged to support the Fiji Red Cross Society’s National Response Plan focused on vaccine roll out, blood donations and training of volunteers for home-based care.This latest announcement is in addition to the package of assistance announced for Fiji last month, including delivery of 100,000 doses of vaccines and funding the recruitment of 190 Fiji graduate nurses to provide surge capacity across the health system.“New Zealand is committed to supporting our Pacific neighbours through this global pandemic.",Long Sentence
"The Delta variant has made the landscape ever more challenging and we continue to look beyond our own borders in the fight to eradicate COVID-19.”“We continue to stay in contact with the Government of Fiji and civil society partners to respond to further requests of assistance,” Nanaia Mahuta said.ENDS",Long Sentence
been,Passive Voice
announced,Passive Voice
provided,Passive Voice
impacted,Passive Voice
directed,Passive Voice
committed,Passive Voice
made,Passive Voice
Minister,Complex Word
Hon,Complex Word
previous,Complex Word
assistance,Complex Word
provided,Complex Word
totalling,Complex Word
challenging,Complex Word
position,Complex Word
continued,Complex Word
Fijian,Complex Word
continue,Complex Word
Government,Complex Word
society,Complex Word
vulnerable,Complex Word
communities,Complex Word
impacted,Complex Word
ongoing,Complex Word
equipment,Complex Word
including,Complex Word
capacity,Complex Word
oxygen,Complex Word
Personal,Complex Word
Protective,Complex Word
Equipment,Complex Word
directed,Complex Word
essential,Complex Word
operations,Complex Word
including,Complex Word
technical,Complex Word
assistance,Complex Word
Government,Complex Word
operations,Complex Word
monitoring,Complex Word
community,Complex Word
isolation,Complex Word
cases.New,Complex Word
contribute,Complex Word
International,Complex Word
Society,Complex Word
National,Complex Word
donations,Complex Word
volunteers,Complex Word
announcement,Complex Word
addition,Complex Word
assistance,Complex Word
including,Complex Word
delivery,Complex Word
recruitment,Complex Word
graduate,Complex Word
capacity,Complex Word
committed,Complex Word
supporting,Complex Word
Pacific,Complex Word
pandemic,Complex Word
variant,Complex Word
challenging,Complex Word
continue,Complex Word
eradicate,Complex Word
continue,Complex Word
Government,Complex Word
society,Complex Word
assistance,Complex Word
