Text,Metric
"Government invests invaccine development to prevent future pandemics, save lives, and prevent economic damageThe Government is working to save lives and protect the economy from future pandemics by confirming New Zealand’s continued participation in an international coalition for vaccine research, announced Research, Science and Innovation Minister Megan Woods and RSI Associate Minister and Associate Minister of Health Ayesha Verrall today.“We are protecting New Zealanders as the Covid-19 pandemic continues by pledging $10 million to the Coalition for Epidemic Preparedness Innovations (CEPI) over five years, to support its continued work to develop COVID-19 vaccines and to prepare for future pandemics,” says Megan Woods.“This renewed support will ensure our membership for the next five years.",Long Sentence
CEPI plays a critical role in supporting the global scientific community and it was a major contributor to the development of most of the vaccines available for COVID-19 today.,Long Sentence
"New Zealand’s membership of CEPI, and the participation of our researchers and innovators in its networks significantly improves our ability to respond to this, and any future pandemic,” Megan Woods said.“Vaccines are the best tool to save lives and minimise the social, economic and cultural harms of this and future pandemics”, says Ayesha Verrall.",Long Sentence
"“Widespread vaccination also reduces opportunities for new, more dangerous variants to arise, which would affect the most vulnerable in our communities.",Long Sentence
"Through international collaboration, vaccines and innovations in vaccine technology and manufacturing can happen faster and more reliably.“CEPI has a vital role through the COVAX partnership in ensuring the international community has equitable access to COVID-19 vaccines and other essential research and innovation.",Long Sentence
"Supporting CEPI’s five-year plan, alongside our international partners, strengthens the global system for pandemic preparedness and response.",Long Sentence
"New Zealand also provides active support to COVAX itself, contributing more than $26 million to date,” Ayesha Verrall said.CEPI’s five-year plan includes:being able to develop vaccines for any future pandemic within 100 days of the viral sequence being identified,developing pan-coronavirus vaccines and therapeutics that would apply across COVID-19 variants and other coronaviruses, andestablish networks of global vaccine scientific and manufacturing capacity that can be rapidly utilised in any future pandemic.Associate Minister Ayesha Verrall announced New Zealand’s pledge at the CEPI replenishment summit.",Long Sentence
renewed,Passive Voice
identified,Passive Voice
Government,Complex Word
invaccine,Complex Word
development,Complex Word
economic,Complex Word
Government,Complex Word
economy,Complex Word
confirming,Complex Word
continued,Complex Word
participation,Complex Word
international,Complex Word
coalition,Complex Word
Innovation,Complex Word
Minister,Complex Word
Associate,Complex Word
Minister,Complex Word
Associate,Complex Word
Minister,Complex Word
protecting,Complex Word
Zealanders,Complex Word
pandemic,Complex Word
continues,Complex Word
Coalition,Complex Word
Epidemic,Complex Word
Preparedness,Complex Word
Innovations,Complex Word
continued,Complex Word
develop,Complex Word
membership,Complex Word
critical,Complex Word
supporting,Complex Word
scientific,Complex Word
community,Complex Word
contributor,Complex Word
development,Complex Word
available,Complex Word
membership,Complex Word
participation,Complex Word
researchers,Complex Word
innovators,Complex Word
significantly,Complex Word
ability,Complex Word
pandemic,Complex Word
economic,Complex Word
cultural,Complex Word
vaccination,Complex Word
reduces,Complex Word
opportunities,Complex Word
dangerous,Complex Word
variants,Complex Word
vulnerable,Complex Word
communities,Complex Word
international,Complex Word
collaboration,Complex Word
innovations,Complex Word
technology,Complex Word
manufacturing,Complex Word
reliably.,Complex Word
COVAX,Complex Word
partnership,Complex Word
ensuring,Complex Word
international,Complex Word
community,Complex Word
equitable,Complex Word
essential,Complex Word
innovation,Complex Word
Supporting,Complex Word
alongside,Complex Word
international,Complex Word
pandemic,Complex Word
preparedness,Complex Word
COVAX,Complex Word
contributing,Complex Word
develop,Complex Word
pandemic,Complex Word
identified,Complex Word
developing,Complex Word
pan-coronavirus,Complex Word
therapeutics,Complex Word
variants,Complex Word
coronaviruses,Complex Word
andestablish,Complex Word
scientific,Complex Word
manufacturing,Complex Word
capacity,Complex Word
rapidly,Complex Word
pandemic.Associate,Complex Word
Minister,Complex Word
replenishment,Complex Word
