Text,Metric
"Foreign Affairs Minister Nanaia Mahuta today announced additional funding will be provided to COVAX to support vaccine delivery in developing countries.“New Zealand remains cognisant of the dangers of COVID-19, especially as new variants continue to emerge.",Long Sentence
"No one is safe from this virus until we all are and this funding will mean more people in developing countries will be able to protect themselves and their families at this crucial time,” Nanaia Mahuta said.“Aotearoa New Zealand is contributing a further $9 million to the COVAX Advanced Market Commitment (AMC) to ensure developing countries have access to COVID-19 vaccines.“Throughout the COVID-19 pandemic, we have maintained that equity of access to vaccinations must be a core feature of a global response.",Long Sentence
"Our ongoing contribution reinforces our view that developing nations should not be hindered in their ability to fight the severe impacts of this virus on the health of their people and communities.“As one of the first countries to donate funds and vaccines to COVAX, we are a strong supporter of their efforts in ensuring widespread vaccination around the world,” Nanaia Mahuta said.This funding brings New Zealand’s total COVAX AMC contribution to $26 million.COVAX is the only global initiative working with manufacturers and governments to ensure COVID-19 vaccines are available worldwide to both high-income and lower-income countries.",Long Sentence
"It is co-led by CEPI, Gavi and WHO – working in partnership with developed and developing country vaccine manufacturers, UNICEF, the World Bank, and others.",Long Sentence
provided,Passive Voice
maintained,Passive Voice
hindered,Passive Voice
Minister,Complex Word
additional,Complex Word
provided,Complex Word
COVAX,Complex Word
delivery,Complex Word
developing,Complex Word
especially,Complex Word
variants,Complex Word
continue,Complex Word
developing,Complex Word
families,Complex Word
contributing,Complex Word
COVAX,Complex Word
Commitment,Complex Word
AMC,Complex Word
developing,Complex Word
pandemic,Complex Word
equity,Complex Word
vaccinations,Complex Word
ongoing,Complex Word
contribution,Complex Word
reinforces,Complex Word
developing,Complex Word
ability,Complex Word
communities.,Complex Word
COVAX,Complex Word
supporter,Complex Word
ensuring,Complex Word
vaccination,Complex Word
COVAX,Complex Word
AMC,Complex Word
contribution,Complex Word
million.COVAX,Complex Word
initiative,Complex Word
manufacturers,Complex Word
governments,Complex Word
available,Complex Word
high-income,Complex Word
lower-income,Complex Word
partnership,Complex Word
developed,Complex Word
developing,Complex Word
manufacturers,Complex Word
UNICEF,Complex Word
