Text,Metric
"APEC trade ministers today committed to speeding up the cross-border flow of vaccines and related goods to fight the COVID-19 pandemic.Thisfollowed the completion of the APEC Ministers Responsible for Trade Meeting chaired by Minister for Trade and Export Growth Damien O’Connor early this morning.“As we face the biggest health and economic crisis of our lifetimes, I was greatly heartened to see how we united to make progress.",Long Sentence
"We represent half of global GDP and wanted to use trade as a force for good,” Damien O’Connor said.“We know nobody is safe until everybody is safe from COVID-19, and we know that our region prospers economically by keeping our markets open to one another rather than closing ourselves off.",Long Sentence
"APEC Trade Ministers today agreed to:Act now to speed the flow of vaccines and vaccine-related goods by eliminating trade restrictions that increase the cost of vaccines and the goods that support them;A set of guidelines for  their Customs authorities to ensure vaccines flow through ports and airports as quickly as possible so they are not sitting idle;Remove barriers to freight and logistics services to support trade in vaccines and vaccine-related goods to help fight the pandemic.”“It is encouraging to see APEC trade ministers working together to respond in practical, concrete terms to the COVID pandemic and rebuild our economies,” he said.Minister of State for Trade and Export Growth, Phil Twyford, who represented New Zealand at the meeting, said APEC had returned to its traditional role of championingmultilateralismby:Rejuvenating the World Trade Organisation and injecting momentum into a series of trade negotiations with the aim of concluding these by the end of this year.Doubling down on a sustainable recovery by pushing the World Trade Organisation to agree governments should not pay subsidies that encourage over-fishing and to finish their negotiations by the end of July.Starting to reform subsidies to the fossil fuel industry that are contributing to the climate crisis.“I would also like to acknowledge the important work led by Minister of Customs Meka Whaitiri and the New Zealand Customs Service to publishtheBest Practice Guidelines for APEC Customs Administrations.“This was a New Zealand-led APEC initiative, which is intended to help fast track the delivery of COVID-19 vaccines so they aren’t held up at borders and are distributed to people in a safe and timely manner,” Phil Twyford said.View the APEC Ministers Responsible for Joint Trade Statement 2021View Annex 1: The APEC Statement on COVID-19 Vaccine Supply ChainsView Annex 2: The APEC Statement on Services to Support the Movement of Essential Goods",Long Sentence
committed,Passive Voice
chaired,Passive Voice
heartened,Passive Voice
returned,Passive Voice
led,Passive Voice
intended,Passive Voice
distributed,Passive Voice
ministers,Complex Word
committed,Complex Word
cross-border,Complex Word
related,Complex Word
pandemic.Thisfollowed,Complex Word
completion,Complex Word
Ministers,Complex Word
Responsible,Complex Word
Minister,Complex Word
Damien,Complex Word
economic,Complex Word
united,Complex Word
represent,Complex Word
Damien,Complex Word
nobody,Complex Word
everybody,Complex Word
economically,Complex Word
another,Complex Word
ourselves,Complex Word
Ministers,Complex Word
vaccine-related,Complex Word
eliminating,Complex Word
restrictions,Complex Word
authorities,Complex Word
possible,Complex Word
barriers,Complex Word
logistics,Complex Word
services,Complex Word
vaccine-related,Complex Word
pandemic.,Complex Word
encouraging,Complex Word
ministers,Complex Word
together,Complex Word
practical,Complex Word
pandemic,Complex Word
economies,Complex Word
said.Minister,Complex Word
represented,Complex Word
traditional,Complex Word
championingmultilateralismby,Complex Word
Rejuvenating,Complex Word
Organisation,Complex Word
injecting,Complex Word
momentum,Complex Word
negotiations,Complex Word
concluding,Complex Word
year.Doubling,Complex Word
sustainable,Complex Word
recovery,Complex Word
Organisation,Complex Word
governments,Complex Word
subsidies,Complex Word
encourage,Complex Word
over-fishing,Complex Word
negotiations,Complex Word
subsidies,Complex Word
industry,Complex Word
contributing,Complex Word
acknowledge,Complex Word
important,Complex Word
Minister,Complex Word
Administrations.,Complex Word
initiative,Complex Word
intended,Complex Word
delivery,Complex Word
distributed,Complex Word
Ministers,Complex Word
Responsible,Complex Word
Services,Complex Word
Essential,Complex Word
