Text,Metric
"Auckland boundary settings to change from 15 December, ensuring travel out for all vaccinated people or those with a negative test resultCountry better prepared - 82 percent New Zealanders fully vaccinated, compared to 23 percent three months ago and projections of 90 percent fully vaccinated by mid-DecemberOn 15 December Aucklanders who have been vaccinated or tested will be able to reconnect with the rest of New Zealand in time for Christmas and summer, Prime Minister Jacinda Ardern announced today.To minimise the risk of COVID-19 spreading from Auckland to other parts of the country travellers will have to be either fully vaccinated or have a negative test within 72 hours of departure.",Long Sentence
This requirement will be in place for the core summer period of December 15 2021 to January 17 2022.“Aucklanders have faced restrictions for an extended period of time to keep the rest of New Zealand safe.,Long Sentence
"But with increased rates of vaccination it’s time to open up the ability to travel again,” Jacinda Ardern said.“Confirming December 15 as the date the boundary requirements change provides certainty.",Long Sentence
"Aucklanders can now book summer travel and accommodation with confidence and businesses inside Auckland and around the rest of the country can plan for summer travellers.“The boundary is of course two ways, so the changes also mean Aucklanders and Auckland businesses can start receiving New Zealanders from all over the country, allowing families and friends to reconnect and business to receive a much needed boost before Christmas.“Police will have operational discretion on the enforcement of these rules.",Long Sentence
"Police undertake random spot checks to enforce a range of laws on our roads, such as drink driving, and will take the same approach here.“On the northern boundary, and the gateway to Northland, Police will work with Iwi to ensure people can move, but also that the people of Northland have confidence in the checks that are in place.“We have given special consideration to the South Island.",Long Sentence
The combination of the vaccine or testing requirement for Air New Zealand combined with the ability for the inter-islander to operate the same regime will provide solid measures to slow any spread to the South.“Cabinet will confirm on November 29 its decision to move Auckland into the new traffic light system which we expect will occur soon after the 29th.,Long Sentence
"Auckland will initially move into Red, the highest level in the traffic light.“We are also confirming today that the rest of the country will move into the framework at the same time as Auckland.",Long Sentence
"Those parts of the country with lower vaccination rates will move into the new system at Red, which has greater protections than the current Alert Level 2, meaning there will be stronger measures to minimise the risk of spread.“This decision carefully balances the need to give Aucklanders the ability to move and comfort to the rest of New Zealand that we’re still taking steps to slow the spread of COVID.“We have deliberately set the date for the boundary restrictions to change in a month’s time in order to give the rest of New Zealand time to move into the safer traffic light system and the chance to increase vaccination rates even further.“82 percent of New Zealanders are now fully vaccinated compared to just 23 percent when Delta arrived three months ago, so we are in a much safer position to ease boundary restrictions.“We will be in an even safer position by mid-December when it’s expected New Zealand as a whole will be around 90 percent fully vaccinated.“The steps we have taken to date have undeniably saved lives and slowed the spread of the virus that otherwise could have moved through the country very quickly.“But elimination and the alert levels were never intended as a forever strategy.",Long Sentence
"High vaccination rates now offer us the ability to change our approach and move into the next chapter of our COVID response,” Jacinda Ardern said.The Auckland boundary will formally lift at 11.59pm Tuesday 14 DecemberPeople travelling out of Auckland from 15 December will be covered by the vaccination or testing requirement up until 17 January.Police will have operational discretion on the enforcement for these rules and perform spot checks.On the northern boundary, Police will work with iwi to ensure people can move, but also that the people of Northland have confidence in the checks that are in place.It is intended that people breaking the rules will face an infringement fine of $1,000.Checks for travellers out of Auckland Airport will be done at check-in.",Long Sentence
"Air New Zealand have made a vaccine certificate or test a requirement before New Zealanders can fly, and these requirements begin on the 15th of December also.We will be enabling inter-island ferries to require proof of vaccination or a negative pre-departure test in order to travel between Wellington and Picton",Long Sentence
compared,Passive Voice
vaccinated,Passive Voice
been,Passive Voice
vaccinated,Passive Voice
tested,Passive Voice
vaccinated,Passive Voice
faced,Passive Voice
needed,Passive Voice
given,Passive Voice
combined,Passive Voice
set,Passive Voice
vaccinated,Passive Voice
compared,Passive Voice
expected,Passive Voice
taken,Passive Voice
saved,Passive Voice
moved,Passive Voice
intended,Passive Voice
covered,Passive Voice
intended,Passive Voice
done,Passive Voice
made,Passive Voice
boundary,Complex Word
December,Complex Word
ensuring,Complex Word
vaccinated,Complex Word
negative,Complex Word
resultCountry,Complex Word
Zealanders,Complex Word
vaccinated,Complex Word
projections,Complex Word
vaccinated,Complex Word
mid-DecemberOn,Complex Word
December,Complex Word
Aucklanders,Complex Word
vaccinated,Complex Word
reconnect,Complex Word
Minister,Complex Word
Jacinda,Complex Word
today.To,Complex Word
travellers,Complex Word
vaccinated,Complex Word
negative,Complex Word
departure,Complex Word
requirement,Complex Word
period,Complex Word
December,Complex Word
January,Complex Word
Aucklanders,Complex Word
restrictions,Complex Word
extended,Complex Word
period,Complex Word
vaccination,Complex Word
ability,Complex Word
Jacinda,Complex Word
Confirming,Complex Word
December,Complex Word
boundary,Complex Word
requirements,Complex Word
certainty,Complex Word
Aucklanders,Complex Word
accommodation,Complex Word
confidence,Complex Word
businesses,Complex Word
boundary,Complex Word
Aucklanders,Complex Word
businesses,Complex Word
receiving,Complex Word
Zealanders,Complex Word
allowing,Complex Word
families,Complex Word
reconnect,Complex Word
operational,Complex Word
discretion,Complex Word
enforcement,Complex Word
undertake,Complex Word
boundary,Complex Word
confidence,Complex Word
consideration,Complex Word
combination,Complex Word
requirement,Complex Word
ability,Complex Word
inter-islander,Complex Word
operate,Complex Word
Cabinet,Complex Word
