Text,Metric
"Foreign Affairs Minister Nanaia Mahuta has concluded a visit to Rwanda reaffirming Aotearoa New Zealand’s engagement in the Commonwealth and meeting with key counterparts.“I would like to thank President Kagame and the people of Rwanda for their manaakitanga and expert hosting of this important meeting,” Nanaia Mahuta said.“CHOGM was a valuable opportunity to reconnect New Zealand to the world through building and deepening relationships with counterparts and leaders from across the Commonwealth, including from Africa, Asia, and the Caribbean.“The meeting reinforced the true value of the Commonwealth, as a diverse network of nations sharing democratic values and with a commitment to peace and universal human rights.“Meeting with Pacific counterparts was also a highlight of the week and allowed me to reaffirm our connections in person.",Long Sentence
"During a working lunch with Pacific counterparts, we discussed regional and global challenges, including climate change and oceans issues, and how the Commonwealth can best contribute to addressing these,” Nanaia Mahuta said.CHOGM 2022 saw Leaders at the meeting endorse thecommuniquéwhich outlined common issues of concern to member states, including the global impact of the war on Ukraine and the importance of upholding the sovereignty and territorial integrity of all states.Leaders also agreed to astatementwhich reaffirmed the importance of vaccine equity, countering violent extremism, and recognising the impact of global insecurities in food, energy and climate on Commonwealth members.",Long Sentence
"They also welcomed Togo and Gabon into the Commonwealth as new members, and reappointed Secretary General Scotland for a further two year term.During the week, Nanaia Mahuta held bilateral engagements with:President of Rwanda, Paul KagameJamaica Minister of Foreign Affairs and Foreign Trade, Kamina Johnson SmithBelize Minister of Foreign Affairs, Eamon CourtenaySierra Leone Minister of Foreign Affairs and International Cooperation, David J. FrancisKenya Minister of Foreign Affairs, Raychelle OmamoSolomon Islands Minister of Foreign Affairs, Jeremiah ManelePakistan Minister of State for Foreign Affairs, Hina Rabbani KharSingapore Minister of Foreign Affairs, Vivian BalakrishnanSri Lanka Minister of Foreign Affairs, Gamini Lakshman PeirisUK Foreign Secretary, Liz TrussIndia Minister of External Affairs, Subrahmanyam JaishankarAustralia Minister for International Development and the Pacific, Pat ConroyGhana Minister for Foreign Affairs, Shirley Ayorkor Botchwey.The Minister also hosted a Pacific lunch attended by the Secretary General of the Pacific Islands Forum, Prime Minister of Samoa, the Prime Minister and the Foreign Minister of Tonga, Minister for International Development and Pacific of Australia, Papua New Guinea High Commissioner to London, Fiji High Commissioner to London, Foreign Minister of Tuvalu, and the Foreign Minister of Solomon Islands.The next CHOGM will be held in Samoa in 2024.",Long Sentence
concluded,Passive Voice
attended,Passive Voice
held,Passive Voice
Minister,Complex Word
concluded,Complex Word
Rwanda,Complex Word
reaffirming,Complex Word
engagement,Complex Word
Commonwealth,Complex Word
counterparts.,Complex Word
President,Complex Word
Rwanda,Complex Word
manaakitanga,Complex Word
important,Complex Word
valuable,Complex Word
opportunity,Complex Word
reconnect,Complex Word
deepening,Complex Word
relationships,Complex Word
counterparts,Complex Word
Commonwealth,Complex Word
including,Complex Word
Africa,Complex Word
Caribbean.,Complex Word
reinforced,Complex Word
Commonwealth,Complex Word
democratic,Complex Word
commitment,Complex Word
universal,Complex Word
Pacific,Complex Word
counterparts,Complex Word
reaffirm,Complex Word
connections,Complex Word
Pacific,Complex Word
counterparts,Complex Word
regional,Complex Word
challenges,Complex Word
including,Complex Word
Commonwealth,Complex Word
contribute,Complex Word
addressing,Complex Word
thecommuniquéwhich,Complex Word
including,Complex Word
importance,Complex Word
upholding,Complex Word
sovereignty,Complex Word
territorial,Complex Word
integrity,Complex Word
astatementwhich,Complex Word
reaffirmed,Complex Word
importance,Complex Word
equity,Complex Word
countering,Complex Word
violent,Complex Word
extremism,Complex Word
recognising,Complex Word
insecurities,Complex Word
energy,Complex Word
Commonwealth,Complex Word
Commonwealth,Complex Word
reappointed,Complex Word
Secretary,Complex Word
General,Complex Word
term.During,Complex Word
bilateral,Complex Word
engagements,Complex Word
President,Complex Word
Rwanda,Complex Word
KagameJamaica,Complex Word
Minister,Complex Word
Kamina,Complex Word
SmithBelize,Complex Word
Minister,Complex Word
CourtenaySierra,Complex Word
Minister,Complex Word
International,Complex Word
Cooperation,Complex Word
Minister,Complex Word
Minister,Complex Word
Jeremiah,Complex Word
Minister,Complex Word
Rabbani,Complex Word
KharSingapore,Complex Word
Minister,Complex Word
Vivian,Complex Word
BalakrishnanSri,Complex Word
Minister,Complex Word
Lakshman,Complex Word
Secretary,Complex Word
Minister,Complex Word
External,Complex Word
Subrahmanyam,Complex Word
JaishankarAustralia,Complex Word
Minister,Complex Word
International,Complex Word
Development,Complex Word
Pacific,Complex Word
Minister,Complex Word
Minister,Complex Word
Pacific,Complex Word
attended,Complex Word
Secretary,Complex Word
General,Complex Word
Pacific,Complex Word
Minister,Complex Word
Samoa,Complex Word
Minister,Complex Word
Minister,Complex Word
Minister,Complex Word
International,Complex Word
Development,Complex Word
Pacific,Complex Word
Australia,Complex Word
Papua,Complex Word
Commissioner,Complex Word
Commissioner,Complex Word
Minister,Complex Word
Minister,Complex Word
Solomon,Complex Word
Islands.The,Complex Word
Samoa,Complex Word
