Text,Metric
"This will come into place from 2 July 2022.100 per cent of corrections staff in prisons, and as of 23 June 2022 97 per cent of active border workers were fully vaccinated.“As we have previously said we keep vaccine mandates under continuous review and remove them when safe to do so,” COVID-19 Response MinisterDr Ayesha Verrall said.“Vaccination has been one of our strongest and most effective defences to protect against COVID-19.",Long Sentence
But we feel the requirement has served its purpose well.“The risk COVID-19 poses at the border is much lower than it was previously.,Long Sentence
Alongside high rates of vaccination amongst border workers the number of passengers arriving by air with COVID-19 is less than 3%.“Corrections staff will also no longer be included in the Vaccination Order.,Long Sentence
"Currently all corrections staff in prisons are fully vaccinated and 72% of people in prison have been fully vaccinated.“How we manage COVID-19 in Aotearoa continues to change and as certain protections are no longer required we have shown we will remove them.“We have high levels of vaccination amongst the general population and we have increasing protection in the population from prior infection, so tools like vaccine mandates in most settings are no longer necessary.“Our corrections and border workers have played an extremely important role throughout the pandemic.",Long Sentence
"I can’t thank them enough for their dedication and commitment to keeping us all safe,” Dr Ayesha Verrall said.The Vaccination Order remains in place for health and disability workers as they continue to have close interactions withpeople who are at high risk of serious illness from COVID-19.",Long Sentence
announced,Passive Voice
vaccinated,Passive Voice
been,Passive Voice
served,Passive Voice
included,Passive Voice
vaccinated,Passive Voice
been,Passive Voice
required,Passive Voice
shown,Passive Voice
played,Passive Voice
reviewed,Passive Voice
Government,Complex Word
requirement,Complex Word
corrections,Complex Word
vaccinated,Complex Word
corrections,Complex Word
vaccinated.,Complex Word
previously,Complex Word
continuous,Complex Word
MinisterDr,Complex Word
Vaccination,Complex Word
effective,Complex Word
corrections,Complex Word
requirement,Complex Word
previously,Complex Word
Alongside,Complex Word
vaccination,Complex Word
passengers,Complex Word
arriving,Complex Word
Corrections,Complex Word
included,Complex Word
Vaccination,Complex Word
Currently,Complex Word
corrections,Complex Word
vaccinated,Complex Word
vaccinated.,Complex Word
continues,Complex Word
protections,Complex Word
required,Complex Word
vaccination,Complex Word
general,Complex Word
population,Complex Word
increasing,Complex Word
protection,Complex Word
population,Complex Word
infection,Complex Word
necessary.,Complex Word
corrections,Complex Word
extremely,Complex Word
important,Complex Word
pandemic,Complex Word
dedication,Complex Word
commitment,Complex Word
Vaccination,Complex Word
disability,Complex Word
continue,Complex Word
interactions,Complex Word
withpeople,Complex Word
serious,Complex Word
disability,Complex Word
regularly,Complex Word
