Text,Metric
"Securing the recovery and investing in the wellbeing of New Zealanders is the focus of Budget 2021, Grant Robertson told his audience at a pre-budget speech in Auckland this morning.",Long Sentence
"""The economy has proven resilient in response to COVID-19, due to people having confidence in the Government’s health response to keep them safe.",Long Sentence
"Unemployment has continued to trend down, an extra 32,000 jobs have been created in the six months to March and business and consumer confidence is increasing as our vaccine rollout is ramping up and we are carefully opening up our borders.”“We can’t take the recovery for granted.",Long Sentence
Further waves of COVID-19 around the world underline that we are still in a highly volatile and uncertain global environment.,Long Sentence
We have also taken on considerable debt to support New Zealanders lives and livelihoods through COVID-19.“In this environment a balanced approached is required.,Long Sentence
"We need to continue to be careful with our management of the economy, while also providing stimulus to accelerate the recovery and to make investments where they are needed the most to tackle our long term challenges in priority areas such as climate change, child wellbeing and housing.“Our better than expected economic recovery does provide us with more options.",Long Sentence
There is a bit more space in our operating and capital allowances to support the economy in line with our wellbeing approach while also providing further scope to keep a lid on our higher debt levels and then lower it once the recovery is secure.“An investment-focused recovery that supports all New Zealanders is the way to ensure that our finances remain sustainable.,Long Sentence
It is also the way in which the Government will continue to tackle the long-standing issues that we were elected to address.“It is important to recognise that it can’t all be done in one budget.,Long Sentence
"I view this budget as one of a package of three this term to advance our priorities and return our books to a sustainable fiscal position,” Grant Robertson said.",Long Sentence
proven,Passive Voice
continued,Passive Voice
been,Passive Voice
created,Passive Voice
granted,Passive Voice
taken,Passive Voice
balanced,Passive Voice
approached,Passive Voice
required,Passive Voice
needed,Passive Voice
expected,Passive Voice
elected,Passive Voice
done,Passive Voice
Securing,Complex Word
recovery,Complex Word
investing,Complex Word
wellbeing,Complex Word
Zealanders,Complex Word
Robertson,Complex Word
audience,Complex Word
pre-budget,Complex Word
economy,Complex Word
resilient,Complex Word
confidence,Complex Word
Government,Complex Word
Unemployment,Complex Word
continued,Complex Word
created,Complex Word
consumer,Complex Word
confidence,Complex Word
increasing,Complex Word
carefully,Complex Word
opening,Complex Word
recovery,Complex Word
underline,Complex Word
volatile,Complex Word
uncertain,Complex Word
environment,Complex Word
struggling,Complex Word
pandemic,Complex Word
considerable,Complex Word
Zealanders,Complex Word
livelihoods,Complex Word
environment,Complex Word
required,Complex Word
continue,Complex Word
management,Complex Word
economy,Complex Word
providing,Complex Word
stimulus,Complex Word
accelerate,Complex Word
recovery,Complex Word
investments,Complex Word
challenges,Complex Word
priority,Complex Word
areas,Complex Word
wellbeing,Complex Word
expected,Complex Word
economic,Complex Word
recovery,Complex Word
operating,Complex Word
capital,Complex Word
allowances,Complex Word
economy,Complex Word
wellbeing,Complex Word
providing,Complex Word
recovery,Complex Word
investment-focused,Complex Word
recovery,Complex Word
Zealanders,Complex Word
finances,Complex Word
sustainable,Complex Word
Government,Complex Word
continue,Complex Word
long-standing,Complex Word
elected,Complex Word
important,Complex Word
priorities,Complex Word
sustainable,Complex Word
position,Complex Word
Robertson,Complex Word
