Text,Metric
"Foreign Minister Nanaia Mahuta has announced further support for Fiji, including funding support for nursing staff and 100,000 doses of vaccines due to arrive in country today.“Our thoughts remain with Fiji during this incredibly challenging period,” Nanaia Mahuta said.“New Zealand has funded 100,000 doses of the AstraZeneca vaccine directly from the Spanish government in order to meet Fiji’s immediate vaccine requirements.",Long Sentence
"The vaccines will arrive in Fiji later today.“AstraZeneca is Fiji’s vaccine of choice and these doses will further support the excellent work Fiji is doing in vaccinating its population.”“Earlier this year New Zealand committed to providing up to 500,000 doses of vaccine to support Fiji’s rollout.",Long Sentence
"Fiji’s vaccination programme is progressing well with 25% now fully vaccinated, and first doses provided to 82% of the population.",Long Sentence
"Our commitment stands and New Zealand will continue to work with Fiji to confirm its remaining vaccine requirements,” said Nanaia Mahuta.New Zealand is also funding the recruitment of 190 Fiji graduate nurses, for a three month period, to provide surge capacity across the health system including at Fiji’s isolation facilities.“The recruitment of these nurses not only supports Fiji’s response in the short term, but also contributes to the long-term resilience of the health sector,” Nanaia Mahuta said.Aotearoa has also responded to a range of other requests from the Fiji Government and civil society.“In the last two weeks New Zealand has supported the provision and retrofitting of ambulances and medical equipment, provided funding support to civil society partners and begun delivering 700,000 testing swabs and privacy screens for medical facilities,” said Nanaia Mahuta.These initiatives build on previous packages of support New Zealand has provided Fiji to enable its COVID-19 response, including $40 million of financial assistance, PPE, testing equipment and other relief supplies.",Long Sentence
"New Zealand has also deployed two rotations of medical personnel to the joint Australia New Zealand Medical Assistance Team providing surge clinical, logistical and public health support for the Fiji health system.“We remain in close contact with the Government of Fiji and civil society partners to support further requests,” Nanaia Mahuta said.ENDS",Long Sentence
announced,Passive Voice
funded,Passive Voice
vaccinated,Passive Voice
provided,Passive Voice
responded,Passive Voice
supported,Passive Voice
begun,Passive Voice
provided,Passive Voice
deployed,Passive Voice
Minister,Complex Word
including,Complex Word
incredibly,Complex Word
challenging,Complex Word
period,Complex Word
directly,Complex Word
government,Complex Word
immediate,Complex Word
requirements,Complex Word
excellent,Complex Word
vaccinating,Complex Word
population.,Complex Word
Earlier,Complex Word
committed,Complex Word
providing,Complex Word
vaccination,Complex Word
progressing,Complex Word
vaccinated,Complex Word
provided,Complex Word
population,Complex Word
commitment,Complex Word
continue,Complex Word
remaining,Complex Word
requirements,Complex Word
recruitment,Complex Word
graduate,Complex Word
period,Complex Word
capacity,Complex Word
including,Complex Word
isolation,Complex Word
facilities.,Complex Word
recruitment,Complex Word
contributes,Complex Word
resilience,Complex Word
responded,Complex Word
Government,Complex Word
society.,Complex Word
supported,Complex Word
provision,Complex Word
retrofitting,Complex Word
ambulances,Complex Word
medical,Complex Word
equipment,Complex Word
provided,Complex Word
society,Complex Word
delivering,Complex Word
privacy,Complex Word
medical,Complex Word
facilities,Complex Word
initiatives,Complex Word
previous,Complex Word
packages,Complex Word
provided,Complex Word
enable,Complex Word
including,Complex Word
financial,Complex Word
assistance,Complex Word
equipment,Complex Word
rotations,Complex Word
medical,Complex Word
personnel,Complex Word
Australia,Complex Word
Medical,Complex Word
Assistance,Complex Word
providing,Complex Word
clinical,Complex Word
logistical,Complex Word
Government,Complex Word
society,Complex Word
