Text,Metric
"Foreign Minister Nanaia Mahuta has concluded her visit to Tonga, meeting the Minister of Health Dr Saia Piukala and frontline healthcare workers in Nuku’alofa.“As a country in and of the Pacific, New Zealand has done all we can to assist our Pacific whānau prepare and navigate through various COVID-19 outbreaks,” Nanaia Mahuta.“While this has been challenging at times, particularly through our ongoing domestic response, we remain committed to our Pacific partners.“To further strengthen resilience and develop Tonga’s health workforce, Aotearoa New Zealand is funding a $4.8 million partnership programme over the next four years.“Under the new partnership, Massey University will help Tonga plan for service needs, train staff, and allocate healthcare workers to where they are most needed.“In Tonga, New Zealand are proud to be key partners in the health sector.",Long Sentence
"We stand firmly alongside the Tongan health workforce as it manages COVID-19 and recovers from January’s Hunga Tonga–Hunga Ha’apai volcanic eruption and tsunami,” Nanaia Mahuta said.In response to the impacts of the COVID-19 pandemic, Aotearoa New Zealand hasprovided COVID-19 vaccines, testing kits, testing facilities and genomic sequencing, and technical support to Tonga.The Foreign Minister has concluded her official visit to Tonga, meeting with:His Majesty King Tupou IVPrime Minister of Tonga, Hon.",Long Sentence
"Hu’akavameiliku Siaosi SovaleniMinister of Foreign Affairs, Fekitamoeloa ‘Utoikamanu,Minister of Trade and Economic Development, Hon Viliami Uasike LatuMinister of Health, Dr Saia Piukala.During the visit, Nanaia Mahuta also announced developments inExercise Tropic Twilight, hosted a resilience in diversity women’s event with community and non-governmental organisations, and launchedAotearoa New Zealand’s climate finance strategy.",Long Sentence
concluded,Passive Voice
done,Passive Voice
been,Passive Voice
concluded,Passive Voice
Minister,Complex Word
concluded,Complex Word
Minister,Complex Word
Pacific,Complex Word
Pacific,Complex Word
navigate,Complex Word
various,Complex Word
challenging,Complex Word
particularly,Complex Word
ongoing,Complex Word
domestic,Complex Word
committed,Complex Word
Pacific,Complex Word
resilience,Complex Word
develop,Complex Word
partnership,Complex Word
partnership,Complex Word
University,Complex Word
allocate,Complex Word
alongside,Complex Word
manages,Complex Word
recovers,Complex Word
January,Complex Word
Tonga–Hunga,Complex Word
volcanic,Complex Word
eruption,Complex Word
tsunami,Complex Word
pandemic,Complex Word
hasprovided,Complex Word
facilities,Complex Word
genomic,Complex Word
sequencing,Complex Word
technical,Complex Word
Minister,Complex Word
concluded,Complex Word
official,Complex Word
Majesty,Complex Word
Minister,Complex Word
Hon,Complex Word
SovaleniMinister,Complex Word
Fekitamoeloa,Complex Word
Minister,Complex Word
Economic,Complex Word
Development,Complex Word
Hon,Complex Word
Viliami,Complex Word
LatuMinister,Complex Word
developments,Complex Word
inExercise,Complex Word
resilience,Complex Word
diversity,Complex Word
community,Complex Word
non-governmental,Complex Word
organisations,Complex Word
strategy,Complex Word
