Text,Metric
"Prime Minister Jacinda Ardern today attended the ASEAN-New Zealand Commemorative Summit and discussed with Leaders a range of shared challenges facing the Indo-Pacific region, including:The ongoing management of the COVID-19 pandemic;The importance of working collectively to accelerate economic recovery; andExploring further opportunities for partners to work more closely on health, economic and security issues facing the region.The ASEAN-New Zealand Commemorative Summit, which was held digitally, also marked the 45th anniversary of the diplomatic partnership between the two parties.“New Zealand and ASEAN share a strong legacy of working together to advance peace and prosperity in our region.",Long Sentence
"ASEAN is our fourth largest trading partner, a crucial defence and security partner, and a critical strategic hub that connects us to Asia and the rest of the world,” Jacinda Ardern said.“Our partnership will play an important role as our countries work together to support global efforts to manage the pandemic and ensure fair and equitable access to safe vaccines, and drive economic recovery through maintaining open markets for our exporters and resilient supply chains,” Jacinda Ardern said.The Prime Minister, through a joint statement with Leaders, reaffirmed New Zealand’s commitment to strengthening its partnership with ASEAN under the themes of “Peace, Prosperity, People and Planet”, which will promote cooperation in areas such as sustainability and climate change, trade facilitation and digital commerce.Later tonight the Prime Minister will also digitally attend the East Asia Summit (EAS), the region’s premier forum for leaders to discuss pressing strategic issues facing our region.“The meeting will be a good chance to exchange views with other leaders on the pandemic and issues such as the South China Sea and climate change,” Jacinda Ardern said.Note to editors:The Joint Statement released by the Prime Ministers at the ASEAN-New Zealand CommemorativeSummit is included below.The ASEAN-New Zealand Commemorative Summit is a five-yearly meeting between Heads of State/Government of ASEAN and New Zealand.The ASEAN has 10 members (Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, Viet Nam).Established in 2005, the East Asia Summit is now the premier Leaders political and security forum in the Indo-Pacific.",Long Sentence
"Leaders meet annually and discuss issues and emerging challenges that concern them the most.The East Asia Summit comprises ASEAN plus eight dialogue partners (Australia, China, India, Japan, New Zealand, South Korea, Russia, US).Joint ASEAN-New Zealand Leaders’ Vision Statement on the 45thAnniversary of ASEAN-New Zealand Dialogue Relations:A Legacy of Partnership, A Future Together1.",Long Sentence
"We, the Heads of State/Government of the Member States of the Association of Southeast Asian Nations (ASEAN) and New Zealand, met via videoconference on 14 November 2020, under Viet Nam’s 2020 ASEAN Chairmanship, to commemorate the 45thAnniversary of ASEAN-New Zealand Dialogue Relations.2.",Long Sentence
"The ASEAN-New Zealand Leaders’ Commemorative Summit marks an important milestone in the ASEAN-New Zealand Strategic Partnership, as both sides share a strong legacy, and have achieved much over the past 45 years across a wide range of areas, including political, security, trade and economic, people-to-people, and development cooperation.3.",Long Sentence
"We reaffirm our mutual respect for the principles of sovereignty, territorial integrity, equality, and independence, as espoused in the Treaty of Amity and Cooperation in Southeast Asia (TAC), and reiterate our determination to uphold the purposes and principles of the Charter of the United Nations and respect for international law.4.",Long Sentence
"We share deep concern over the COVID-19 pandemic, which has affected the lives of people as well as economies around the world.",Long Sentence
Our thoughts are with all those who have lost loved ones or who are suffering from the socio-economic impacts of the pandemic.,Long Sentence
"We recognise the heroic efforts of medical professionals, healthcare workers, and other front-liners around the world, and dedicate ourselves to close partnership in pursuit of recovery.5.",Long Sentence
"We acknowledge the progress achieved in the full implementation of the Plan of Action to Implement the Joint Statement for ASEAN-New Zealand Strategic Partnership (2016– 2020), and its two key strategies, namely the “People Strategy” and the “Prosperity Strategy”, which have enhanced cooperation and contributed towards the realisation of the ASEAN Community Vision 2025 and its Blueprints.6.",Long Sentence
"As we look to the future, we underscore the importance of the ASEAN-New Zealand strategic partnership, and the principle of genuine, mutually-beneficial cooperation that has underpinned our dialogue relations for the past 45 years.",Long Sentence
