Text,Metric
"Foreign Minister Nanaia Mahuta and Cook Islands Prime Minister Mark Brown signed a new Statement of Partnership between Aotearoa New Zealand and the Cook Islands in Rarotonga today.NamedWaka Hourua/Vaka Purua,thestatement reflects a commitment to work together on issues of shared interests and importance, recognises our countries special links, and elevates our relationship to a new level of expanded cooperation.“Aotearoa New Zealand and the Cook Islands share deep whakapapa connections which are bound together by Te-Moana-nui-a-Kiwa – our Blue Pacific Continent,” Nanaia Mahuta said.“This Statement emphasises shared priority areas and common goals, such as addressing climate change and strengthening resilience, enhancing our security, and ensuring a sustainable economic recovery from COVID-19.“Aotearoa New Zealand has supported the Cook Islands since the outset of the pandemic through vaccine rollouts, budget support, and improved access to advice and finance for businesses.",Long Sentence
"This morning I also announcedfurther pandemic support to the Pacific.“Prior to the signing, Prime Minister Brown and I shared warm discussions on a range of issues including climate change cooperation, tourism, COVID-19 response, and economic recovery.",Long Sentence
"We also had the opportunity to visit infrastructure projects supported by Aotearoa New Zealand.“Building on the2001 Joint Centenary Declaration, this is a significant milestone in our relationship and provides a roadmap of commitments for the future.",Long Sentence
"Today is about celebrating our shared successes and highlights our joint ambitions for a prosperous and safe Pacific region,” Nanaia Mahuta said.Waka Houra and Vaka Purua are, respectively, the Aotearoa New Zealand Māori and Cook Islands Māori terms for the traditional double-hulled canoes that used to journey between the two countries.",Long Sentence
"The name symbolises the enduring links that exist between the Cook Islands and Aotearoa New Zealand, and the intention to continue to work together to navigate future challenges and opportunities.",Long Sentence
shared,Passive Voice
supported,Passive Voice
supported,Passive Voice
shared,Passive Voice
Minister,Complex Word
Minister,Complex Word
Partnership,Complex Word
Rarotonga,Complex Word
today.NamedWaka,Complex Word
Hourua/Vaka,Complex Word
thestatement,Complex Word
commitment,Complex Word
together,Complex Word
interests,Complex Word
importance,Complex Word
recognises,Complex Word
elevates,Complex Word
relationship,Complex Word
expanded,Complex Word
cooperation.,Complex Word
whakapapa,Complex Word
connections,Complex Word
together,Complex Word
Pacific,Complex Word
Continent,Complex Word
emphasises,Complex Word
priority,Complex Word
areas,Complex Word
addressing,Complex Word
strengthening,Complex Word
resilience,Complex Word
enhancing,Complex Word
security,Complex Word
ensuring,Complex Word
sustainable,Complex Word
economic,Complex Word
recovery,Complex Word
supported,Complex Word
pandemic,Complex Word
businesses,Complex Word
announcedfurther,Complex Word
pandemic,Complex Word
Pacific.,Complex Word
Minister,Complex Word
discussions,Complex Word
including,Complex Word
cooperation,Complex Word
tourism,Complex Word
economic,Complex Word
recovery,Complex Word
opportunity,Complex Word
infrastructure,Complex Word
supported,Complex Word
Centenary,Complex Word
Declaration,Complex Word
significant,Complex Word
relationship,Complex Word
commitments,Complex Word
celebrating,Complex Word
successes,Complex Word
ambitions,Complex Word
prosperous,Complex Word
Pacific,Complex Word
said.Waka,Complex Word
respectively,Complex Word
traditional,Complex Word
double-hulled,Complex Word
symbolises,Complex Word
enduring,Complex Word
intention,Complex Word
continue,Complex Word
together,Complex Word
navigate,Complex Word
challenges,Complex Word
opportunities,Complex Word
