Text,Metric
"Foreign Affairs Minister Nanaia Mahuta today announced a further package of support for the Cook Islands and Fiji for COVID-19 economic support and recovery.“Aotearoa New Zealand remains committed to supporting our Pacific fanau and vuvale to respond to the impacts of COVID-19 on their economies, and move towards long-term economic resilience,” Nanaia Mahuta said.“As the duration of the pandemic lengthens, so do the economic challenges affecting many countries in the Pacific, particularly those that have tourism-focused economies such as the Cook Islands and Fiji.“While vaccination uptake has been excellent in these countries, rebuilding tourism will take time.",Long Sentence
"This funding will help their Governments to continue supporting the needs of their most vulnerable communities.“It will also contribute to sustaining livelihoods through measures such as social support payments, infrastructure stimulus, and tourism business support,” Nanaia Mahuta said.This economic package of $100 million brings COVID-19 budget support provided to the Cook Islands and Fiji during the global pandemic to a combined total of $215 million.In addition to health and vaccine support, New Zealand is also supporting other initiatives that contribute to economic resilience.",Long Sentence
"These include improved access to advice and finance for small-medium businesses in the Cook Islands and supporting Fiji to implement reforms to improve the business and investment climate.“We know that we all need to play our part in the global effort to respond and recover from COVID-19, especially with our close Pacific neighbours.",Long Sentence
"By working together we are ensuring a stronger, more resilient region that sees benefits for everyone,” Nanaia Mahuta said.New Zealand is providing $60 million to the Cook Islands, and $40 million to Fiji.",Long Sentence
been,Passive Voice
Minister,Complex Word
economic,Complex Word
recovery.,Complex Word
committed,Complex Word
supporting,Complex Word
Pacific,Complex Word
economies,Complex Word
economic,Complex Word
resilience,Complex Word
duration,Complex Word
pandemic,Complex Word
economic,Complex Word
challenges,Complex Word
affecting,Complex Word
Pacific,Complex Word
particularly,Complex Word
tourism-focused,Complex Word
economies,Complex Word
vaccination,Complex Word
excellent,Complex Word
rebuilding,Complex Word
tourism,Complex Word
Governments,Complex Word
continue,Complex Word
supporting,Complex Word
vulnerable,Complex Word
communities.,Complex Word
contribute,Complex Word
sustaining,Complex Word
livelihoods,Complex Word
infrastructure,Complex Word
stimulus,Complex Word
tourism,Complex Word
economic,Complex Word
provided,Complex Word
pandemic,Complex Word
million.In,Complex Word
addition,Complex Word
supporting,Complex Word
initiatives,Complex Word
contribute,Complex Word
economic,Complex Word
resilience,Complex Word
small-medium,Complex Word
businesses,Complex Word
supporting,Complex Word
implement,Complex Word
investment,Complex Word
recover,Complex Word
especially,Complex Word
Pacific,Complex Word
together,Complex Word
ensuring,Complex Word
resilient,Complex Word
benefits,Complex Word
everyone,Complex Word
providing,Complex Word
