Text,Metric
"New Zealand has offered, and Fiji has accepted, sufficient doses of AstraZeneca for 250,000 people from New Zealand’s domestic vaccine portfolio, New Zealand Associate Minister of Health and Foreign Affairs Aupito William Sio and Fiji Health and Medical Services Minister Ifereimi Waqainabete announced today.“New Zealand and Fiji are working together closely to support Fiji with access to safe and effective COVID-19 vaccines at the earliest opportunity,” the Ministers said.Both Ministers stressed that there are still a number of steps to work through before the vaccines can be delivered.",Long Sentence
"The vaccine still has to be approved by Medsafe before it can be used in New Zealand and donated to Fiji.The Ministers met virtually last week to discuss New Zealand’s offer, which also includes $2 million of Official Development Assistance to support Fiji’s vaccine rollout.“Fiji has worked hard to keep COVID-19 contained and New Zealand has been committed to supporting it in this,” Minister Sio said.“But this success has been hard won.",Long Sentence
"Following recent community cases in both our countries, we see a vaccine as key to protecting our people from the virus, and for our economic and social recovery.”“Fiji has chosen to roll-out AstraZeneca’s COVID-19 vaccine following earlier deliveries through the COVAX AMC and from India, and we are delighted New Zealand has been able to support us to continue our campaign,” Minister Waqainabete said.“New Zealand is working hard to make that happen as soon as possible with a target of delivery for the third quarter of this year.",Long Sentence
"Under New Zealand Health standards the AstraZeneca vaccine cannot be donated until it’s approved by Medsafe,” Minister Sio said.",Long Sentence
offered,Passive Voice
accepted,Passive Voice
delivered,Passive Voice
approved,Passive Voice
used,Passive Voice
donated,Passive Voice
worked,Passive Voice
contained,Passive Voice
been,Passive Voice
committed,Passive Voice
been,Passive Voice
chosen,Passive Voice
been,Passive Voice
donated,Passive Voice
approved,Passive Voice
accepted,Complex Word
sufficient,Complex Word
domestic,Complex Word
portfolio,Complex Word
Associate,Complex Word
Minister,Complex Word
Medical,Complex Word
Services,Complex Word
Minister,Complex Word
Ifereimi,Complex Word
Waqainabete,Complex Word
together,Complex Word
effective,Complex Word
earliest,Complex Word
opportunity,Complex Word
Ministers,Complex Word
Ministers,Complex Word
delivered,Complex Word
donated,Complex Word
Ministers,Complex Word
virtually,Complex Word
Official,Complex Word
Development,Complex Word
Assistance,Complex Word
committed,Complex Word
supporting,Complex Word
Minister,Complex Word
Following,Complex Word
community,Complex Word
protecting,Complex Word
economic,Complex Word
recovery.,Complex Word
following,Complex Word
earlier,Complex Word
deliveries,Complex Word
COVAX,Complex Word
AMC,Complex Word
India,Complex Word
delighted,Complex Word
continue,Complex Word
Minister,Complex Word
Waqainabete,Complex Word
possible,Complex Word
delivery,Complex Word
donated,Complex Word
Minister,Complex Word
