Text,Metric
"Fiji’s Prime Minister, Josaia Voreqe Bainimarama and Aotearoa New Zealand’s Minister of Foreign Affairs, Nanaia Mahuta met in Suva,today, signing theDuavata Partnership:Aotearoa Whenua Manapori o Whiti Tauaki Mahitahi, an expanded Statement of Partnership between the two countries.“TheDuavata Partnershipis a landmark achievement in the advancement of Fiji and New Zealand collaborations, which has continued to enhance over the years.",Long Sentence
"New Zealand has been a great partner and friend to Fiji and our partnership is the strongest ever,” Prime Minister Bainimaramasaid.Both the Prime Minister and the Minister of Foreign Affairs said that theDuavata Partnershipreaffirms Fiji and Aotearoa New Zealand’s commitment to work together on issues of shared interests and importance.“The new Statement of Partnership reflects our joint ambition to elevate and strengthen our relationship, and underlines the importance of Fiji to Aotearoa New Zealand as a member of our Pacific whānau,” Nanaia Mahuta said.“Aotearoa New Zealand is committed to working alongside Fiji and supporting common goals — both in Fiji and in the Pacific region — that build resilience in areas such as climate change, security, and sustainable economic recovery from COVID-19,” Nanaia Mahuta said.Prime Minister Bainimarama also extended his appreciation to Aotearoa New Zealand Prime Minister, Right Honourable Jacinda Ardern, for her strong leadership and unwavering support that has led to theDuavata Partnership.“This has been evident through the remarkable support which New Zealand has rendered to Fiji during our greatest moments of need.",Long Sentence
"Fiji is grateful to the New Zealand Government for its assistance to Fiji for the national recovery efforts from climate impacts and COVID-19 pandemic, through the provision of humanitarian, budgetary support and lifesaving vaccines,” Prime Minister Bainimaramasaid.“This strategic cooperation is timely, as our region paves its way forward to progressive socio-economic recovery.",Long Sentence
"It will give impetus to our common aspirations on achieving greener, bluer and resilient recovery, with the interest of our Pacific people at the heart of it,” Prime Minister Bainimaramasaid.Prime Minister Bainimarama said the Fijian Government looked forward to working closely with New Zealand Government in the full realisation of the commitments made.“As a unified Pacific family, we take great pride in commemorating this momentous occasion which speaks to our historical links and lasting bonds of friendship that inspires initiatives for the empowerment of ordinary Fijians and create platforms for national and regional prosperity,” Prime Minister Bainimaramasaid.TheDuavata Partnershipis a significant milestone in establishing the values, priorities and principles that will guide the Aotearoa New Zealand-Fijirelationship in the future.Prime Minister Bainimarama formally welcomed Minister Mahuta to Fiji and wished her well for the week-long engagements to be undertaken during her first official visit to Fiji.",Long Sentence
"He also conveyed to Minister Mahuta, the best wishes of the Fijian Government and the Fijian people to Prime Minister Ardern and the people of Aotearoa New Zealand.Prior to the signing of theDuavata Partnership, the leaders took the opportunity to discuss a range of issues, including climate change cooperation, and each countries’ respective COVID-19 outbreaks and responses and support for Pacific regionalism.To read the full Statement of Partnership, visit:https://www.mfat.govt.nz/en/media-and-resources/new-zealand-fiji-statement-of-partnership-2022-2025",Long Sentence
continued,Passive Voice
been,Passive Voice
committed,Passive Voice
led,Passive Voice
been,Passive Voice
rendered,Passive Voice
Minister,Complex Word
Josaia,Complex Word
Bainimarama,Complex Word
Minister,Complex Word
theDuavata,Complex Word
Partnership,Complex Word
Manapori,Complex Word
expanded,Complex Word
Partnership,Complex Word
TheDuavata,Complex Word
Partnershipis,Complex Word
achievement,Complex Word
advancement,Complex Word
collaborations,Complex Word
continued,Complex Word
illustrates,Complex Word
commitment,Complex Word
regional,Complex Word
solidarity,Complex Word
partnership,Complex Word
Minister,Complex Word
Bainimaramasaid.Both,Complex Word
Minister,Complex Word
Minister,Complex Word
theDuavata,Complex Word
Partnershipreaffirms,Complex Word
commitment,Complex Word
together,Complex Word
interests,Complex Word
importance.,Complex Word
Partnership,Complex Word
ambition,Complex Word
elevate,Complex Word
relationship,Complex Word
underlines,Complex Word
importance,Complex Word
Pacific,Complex Word
committed,Complex Word
alongside,Complex Word
supporting,Complex Word
Pacific,Complex Word
resilience,Complex Word
areas,Complex Word
security,Complex Word
sustainable,Complex Word
economic,Complex Word
recovery,Complex Word
Minister,Complex Word
Bainimarama,Complex Word
extended,Complex Word
appreciation,Complex Word
Minister,Complex Word
Jacinda,Complex Word
leadership,Complex Word
unwavering,Complex Word
theDuavata,Complex Word
Partnership.,Complex Word
evident,Complex Word
remarkable,Complex Word
Government,Complex Word
assistance,Complex Word
national,Complex Word
recovery,Complex Word
pandemic,Complex Word
provision,Complex Word
humanitarian,Complex Word
budgetary,Complex Word
lifesaving,Complex Word
Minister,Complex Word
Bainimaramasaid.,Complex Word
strategic,Complex Word
cooperation,Complex Word
progressive,Complex Word
socio-economic,Complex Word
recovery,Complex Word
impetus,Complex Word
aspirations,Complex Word
achieving,Complex Word
resilient,Complex Word
recovery,Complex Word
interest,Complex Word
Pacific,Complex Word
Minister,Complex Word
Bainimaramasaid.Prime,Complex Word
Minister,Complex Word
Bainimarama,Complex Word
Fijian,Complex Word
Government,Complex Word
Government,Complex Word
realisation,Complex Word
commitments,Complex Word
unified,Complex Word
Pacific,Complex Word
family,Complex Word
commemorating,Complex Word
momentous,Complex Word
occasion,Complex Word
historical,Complex Word
initiatives,Complex Word
empowerment,Complex Word
ordinary,Complex Word
Fijians,Complex Word
national,Complex Word
regional,Complex Word
prosperity,Complex Word
Minister,Complex Word
Bainimaramasaid.TheDuavata,Complex Word
