Text,Metric
The Government has announced it is sending a shipment of medical supplies to Tokelau to help its response to the first cases of COVID-19 in quarantine.“Tokelau has done an outstanding job of building health resilience and keeping COVID-19 out of their nation so far.,Long Sentence
"In preparation, around 96 percent of its population are vaccinated providing a strong defence against the virus,” Foreign Minister Nanaia Mahuta said.“Aotearoa New Zealand has provided support to Tokelau since the outset of the pandemic, supporting preparedness through the provision of COVID-19 vaccines.“As they deal with their first cases, we are sending a shipment of further medical supplies including second booster vaccines, 11,900 RATs, PPE, and other essential equipment, alongside preparing to provide COVID-19 oral antivirals,” Nanaia Mahuta said.“The impact of COVID-19 is still being felt around the world, including in the Pacific.",Long Sentence
"We know from our own experiences how challenging it is to deal with the virus,” Associate Foreign Minister Aupito William Sio said.“Aotearoa New Zealand is working closely with the Pasifika Medical Association to respond to any needs for additional primary health care doctors and nurses, and we have also offered surge laboratory personnel.“Tokelau's high vaccination rates,preparations and support from the Polynesian Health Corridors team, should give assurance that they can still look forward to enjoying Christmas with their families,“Aupito William Sio said.“These supplies are part of our ongoing commitment support Pacific partners as they combat COVID-19.",Long Sentence
"They will provide a line of defence to Tokelau and contribute to achieving a safer, prosperous and resilient Pacific,” Nanaia Mahuta said.The medical supplies will arrive into Tokelau on 30 December.",Long Sentence
announced,Passive Voice
done,Passive Voice
vaccinated,Passive Voice
provided,Passive Voice
felt,Passive Voice
offered,Passive Voice
Government,Complex Word
medical,Complex Word
quarantine.,Complex Word
outstanding,Complex Word
resilience,Complex Word
preparation,Complex Word
population,Complex Word
vaccinated,Complex Word
providing,Complex Word
Minister,Complex Word
provided,Complex Word
pandemic,Complex Word
supporting,Complex Word
preparedness,Complex Word
provision,Complex Word
medical,Complex Word
including,Complex Word
essential,Complex Word
equipment,Complex Word
alongside,Complex Word
preparing,Complex Word
antivirals,Complex Word
including,Complex Word
Pacific,Complex Word
experiences,Complex Word
challenging,Complex Word
Associate,Complex Word
Minister,Complex Word
Pasifika,Complex Word
Medical,Complex Word
Association,Complex Word
additional,Complex Word
primary,Complex Word
laboratory,Complex Word
personnel.,Complex Word
vaccination,Complex Word
preparations,Complex Word
Polynesian,Complex Word
Corridors,Complex Word
assurance,Complex Word
enjoying,Complex Word
families,Complex Word
ongoing,Complex Word
commitment,Complex Word
Pacific,Complex Word
contribute,Complex Word
achieving,Complex Word
prosperous,Complex Word
resilient,Complex Word
Pacific,Complex Word
medical,Complex Word
December,Complex Word
