Text,Metric
"Foreign Minister Nanaia Mahuta has wrapped up her first official visit to Niue, reaffirming Aotearoa New Zealand’s commitment to work together to strengthen resilience in the region and support climate action.During the visit, Nanaia Mahuta met Niue Premier Dalton Tagelagi and Cabinet, and was the first outside speaker to address a special session of the Niue Legislative Assembly, the Fale Fono II.“This visit has allowed New Zealand to emphasise the strength of our special constitutional relationship with Niue as we continue to collaborate on areas of shared interest to both our countries and the wider Pacific region,” Nanaia Mahuta said.“We know climate change is the number one challenge facing Te Moana-nui-a-Kiwa — and our top priority moving forward.",Long Sentence
"Premier Tagelagi and I discussed New Zealand’s climate finance contributions, and how to enable Niue to meet its climate change priorities.“We confirmed a further $500,000 investment from our 2022-2025 international climate finance commitment, to complete design and planning for Niue’s renewable energy projects.",Long Sentence
"This builds on $5 million for solar generation from a previous climate package,announced by the Prime Ministerin 2018.",Long Sentence
"Niue has a target of 80% renewable generation,” Nanaia Mahuta said.The Minister visited Niue High School where she opened refurbished buildings upgraded by the NZ Defence Force in July as part of Exercise Tropic Twilight.",Long Sentence
"She also discussed new initiatives to support the preservation of Vagahau Niue and other Pacific languages through greater collaboration, and sharing of teaching and learning resources.“Investing in the preservation and resilience of Vagahau Niue and other Pacific languages is a priority for New Zealand and our Pacific Peoples Minister.",Long Sentence
"Our commitment reflects support for intergenerational and cultural resilience in the Pacific,” Nanaia Mahuta said.“The whakapapa connections of te reo Māori and the languages of Te Moana-nui-a-Kiwa, including Vagahau Niue, provides a basis for a rich and productive partnership,” Nanaia Mahuta said.The Minister also met with Niue’s health workers and the Niue COVID-19 Committee to commend their efforts at keeping the community safe during the pandemic.",Long Sentence
"New Zealand and Niue worked closely on theCOVID-19 pandemic response, including the provision of vaccines andsurge personnelto support clinical and public health teams.The Minister departed Niue for Tonga this morning.",Long Sentence
wrapped,Passive Voice
allowed,Passive Voice
shared,Passive Voice
announced,Passive Voice
upgraded,Passive Voice
Minister,Complex Word
official,Complex Word
reaffirming,Complex Word
commitment,Complex Word
together,Complex Word
resilience,Complex Word
action.During,Complex Word
Tagelagi,Complex Word
Cabinet,Complex Word
Legislative,Complex Word
Assembly,Complex Word
emphasise,Complex Word
constitutional,Complex Word
relationship,Complex Word
continue,Complex Word
collaborate,Complex Word
areas,Complex Word
interest,Complex Word
Pacific,Complex Word
priority,Complex Word
Tagelagi,Complex Word
contributions,Complex Word
enable,Complex Word
priorities.,Complex Word
investment,Complex Word
international,Complex Word
commitment,Complex Word
renewable,Complex Word
energy,Complex Word
generation,Complex Word
previous,Complex Word
Ministerin,Complex Word
renewable,Complex Word
generation,Complex Word
Minister,Complex Word
visited,Complex Word
refurbished,Complex Word
upgraded,Complex Word
Exercise,Complex Word
initiatives,Complex Word
preservation,Complex Word
Vagahau,Complex Word
Pacific,Complex Word
languages,Complex Word
collaboration,Complex Word
Investing,Complex Word
preservation,Complex Word
resilience,Complex Word
Vagahau,Complex Word
Pacific,Complex Word
languages,Complex Word
priority,Complex Word
Pacific,Complex Word
Minister,Complex Word
commitment,Complex Word
intergenerational,Complex Word
cultural,Complex Word
resilience,Complex Word
Pacific,Complex Word
whakapapa,Complex Word
connections,Complex Word
languages,Complex Word
including,Complex Word
Vagahau,Complex Word
productive,Complex Word
partnership,Complex Word
Minister,Complex Word
Committee,Complex Word
community,Complex Word
pandemic,Complex Word
pandemic,Complex Word
including,Complex Word
provision,Complex Word
personnelto,Complex Word
clinical,Complex Word
teams.The,Complex Word
Minister,Complex Word
departed,Complex Word
