Text,Metric
"A new fund will support the empowerment of Pacific Aotearoa to live safely under New Zealand’s COVID-19 Protection Framework, said Minister for Pacific Peoples, Aupito William Sio.In November, Cabinet agreed on $2 million in funding for the Ministry for Pacific Peoples to support outreach into the Pacific Community.",Long Sentence
"This will underpin their safe transition to the COVID-19 Protection Framework.“This investment will ensure the shift to the COVID-19 Protection Framework is well communicated and understood by our Pacific communities.“From now until June 2022, MPP will engage with our communities throughout Aotearoa supporting an educational empowerment approach to Pacific peoples.",Long Sentence
"I want them to have the confidence and independence to navigate safely their movements under the new framework in the languages the different Pacific nations understand,” Aupito William Sio said.The COVID-19 Protection Framework replaces the elimination strategy and former alert level system.“This transition to the COVID-19 Protection Framework is supported by our vaccination rates reaching 90 percent to minimise the spread of COVID-19.",Long Sentence
"I am delighted that 92 percent of Pacific people, eligible to receive the vaccine, had received their first dose.“Delivery of the Pacific Aotearoa Community Outreach fund will enable the Ministry to determine where support and assistance is required and guide that response – such as investing in workshops to keep communities safe; initiatives to encourage Pacific people to get fully vaccinated; and programmes to remove barriers hindering Pacific communities.“This will include access to digital devices, to enable greater awareness and access to online information.“I expect this to reach over 1,000 Pacific peoples nationally, and create 50 targeted initiatives and pilots, The Pacific Aotearoa Community Outreach fund will ensure our people are supported to transition and live safely in the new framework,” Aupito William Sio said.",Long Sentence
communicated,Passive Voice
understood,Passive Voice
supported,Passive Voice
received,Passive Voice
required,Passive Voice
vaccinated,Passive Voice
supported,Passive Voice
empowerment,Complex Word
Pacific,Complex Word
Protection,Complex Word
Minister,Complex Word
Pacific,Complex Word
November,Complex Word
Cabinet,Complex Word
Ministry,Complex Word
Pacific,Complex Word
Pacific,Complex Word
Community,Complex Word
underpin,Complex Word
transition,Complex Word
Protection,Complex Word
investment,Complex Word
Protection,Complex Word
communicated,Complex Word
understood,Complex Word
Pacific,Complex Word
communities.,Complex Word
communities,Complex Word
supporting,Complex Word
educational,Complex Word
empowerment,Complex Word
Pacific,Complex Word
confidence,Complex Word
independence,Complex Word
navigate,Complex Word
languages,Complex Word
different,Complex Word
Pacific,Complex Word
understand,Complex Word
Protection,Complex Word
replaces,Complex Word
elimination,Complex Word
strategy,Complex Word
transition,Complex Word
Protection,Complex Word
supported,Complex Word
vaccination,Complex Word
delighted,Complex Word
Pacific,Complex Word
eligible,Complex Word
Delivery,Complex Word
Pacific,Complex Word
Community,Complex Word
enable,Complex Word
Ministry,Complex Word
determine,Complex Word
assistance,Complex Word
required,Complex Word
investing,Complex Word
communities,Complex Word
initiatives,Complex Word
encourage,Complex Word
Pacific,Complex Word
vaccinated,Complex Word
barriers,Complex Word
hindering,Complex Word
Pacific,Complex Word
communities.,Complex Word
digital,Complex Word
devices,Complex Word
enable,Complex Word
awareness,Complex Word
information.,Complex Word
Pacific,Complex Word
nationally,Complex Word
targeted,Complex Word
initiatives,Complex Word
Pacific,Complex Word
Community,Complex Word
supported,Complex Word
transition,Complex Word
