Text,Metric
"The Government’s prudent fiscal management and strong policy programme in the face of the COVID-19 global pandemic have been acknowledged by the credit rating agency Fitch.Fitch hastodayaffirmed New Zealand’s local currency rating at AA+ with a stable outlook and foreign currency rating at AA with a positive outlook.The agency praised the Government’s policy framework, saying the robust public health and macro-policy response to the global COVID-19 pandemic has enabled New Zealand to weather the economic shock exceptionally well by global standards.“This is further confirmation that our decision to move quickly to protect our people and our economy was the right one, as COVID-19 took hold overseas.",Long Sentence
"We used our strong balance sheet to support our workers and businesses through lockdowns as well as keeping in place a buffer in the case of a resurgence,” Grant Robertson said.Fitch also noted the Government’s effective suppression of COVID-19 domestically and its policy response has meant New Zealand is in a V-shaped economic recovery, with GDP returning to pre-pandemic levels by the September quarter last year.“The economic bounce back was a result of our decision to act swiftly during the COVID-19 pandemic.",Long Sentence
"We supported 1.8 million workers through the Wage Subsidy Scheme and invested billions in infrastructure, training and creating jobs,” Grant Robertson said.“While there are vaccines being rolled out in countries seriously affected by COVID-19, the world is by no means out of the woods yet.",Long Sentence
"There is still a huge amount of global uncertainty in the face of new strains of the virus and continued struggles in many countries to contain COVID-19 domestically.“We went into the economic shock caused by the global pandemic with our finances in good shape, including with very low public debt.",Long Sentence
"While we have borrowed more to protect our people and economy, our net debt as a percentage of GDP remains lower than many of our international peers,” Grant Robertson said.",Long Sentence
been,Passive Voice
acknowledged,Passive Voice
enabled,Passive Voice
meant,Passive Voice
rolled,Passive Voice
affected,Passive Voice
caused,Passive Voice
borrowed,Passive Voice
Government,Complex Word
management,Complex Word
policy,Complex Word
pandemic,Complex Word
acknowledged,Complex Word
agency,Complex Word
hastodayaffirmed,Complex Word
currency,Complex Word
currency,Complex Word
positive,Complex Word
outlook.The,Complex Word
agency,Complex Word
Government,Complex Word
policy,Complex Word
macro-policy,Complex Word
pandemic,Complex Word
enabled,Complex Word
economic,Complex Word
exceptionally,Complex Word
confirmation,Complex Word
decision,Complex Word
economy,Complex Word
overseas,Complex Word
businesses,Complex Word
resurgence,Complex Word
Robertson,Complex Word
Government,Complex Word
effective,Complex Word
suppression,Complex Word
domestically,Complex Word
policy,Complex Word
economic,Complex Word
recovery,Complex Word
returning,Complex Word
pre-pandemic,Complex Word
September,Complex Word
economic,Complex Word
decision,Complex Word
pandemic,Complex Word
supported,Complex Word
Subsidy,Complex Word
invested,Complex Word
infrastructure,Complex Word
creating,Complex Word
Robertson,Complex Word
seriously,Complex Word
affected,Complex Word
uncertainty,Complex Word
continued,Complex Word
domestically.,Complex Word
economic,Complex Word
pandemic,Complex Word
finances,Complex Word
including,Complex Word
economy,Complex Word
percentage,Complex Word
international,Complex Word
Robertson,Complex Word
