Text,Metric
"Aotearoa New Zealand is sending a medical team and supplies to Niue to help it respond to new cases of COVID-19, following the opening of its border to quarantine-free travel last week.Foreign Affairs Minister Nanaia Mahuta and Defence Minister Peeni Henare have announced a Medical Assistance Team will head to Niue on a NZ Defence Force C-130 Hercules tomorrow, after the Niuean government requested New Zealand support.The first quarantine-free passenger flight from New Zealand arrived in Niue on 27thJune, and positive cases were detected the following day as part of mandatory day-one testing for the passengers.“Niue has had considerable success in keeping out COVID-19.",Long Sentence
"We know from our own experiences how challenging it is to deal with this virus,” Nanaia Mahuta said.“Aotearoa New Zealand has provided support to Niue since the outset of the pandemic, including economic support, assistance for its vaccine programme, support from a principal health adviser, and advice across health and border policy settings.“Niue has enviable vaccination rates.",Long Sentence
"Around 99 percent of those aged over five years are double vaccinated, and 93 percent of those over 18 years are boosted.",Long Sentence
"These vaccination rates will help provide a strong defence against this virus.“In line with our shared planning for a response, a public health physician from the Polynesian Health Corridors programme and a laboratory technician from Pacific Pathology Training Centre are travelling to Niue today,” Nanaia Mahuta said.“Tomorrow, a New Zealand Medical Assistance Team of doctors, nurses and logistics personnel will be deployed on the NZDF Hercules to support the Niuean health system.",Long Sentence
"Personal protective equipment (PPE) and additional rapid antigen tests are also being supplied to supplement Niue’s existing stores,” Peeni Henare said.“In addition, a New Zealand Defence Force team of five personnel will also travel to Niue to provide medical planning and logistics expertise to directly support the Niuean Government’s response.“The NZDF always stands ready to work alongside our partners across the Pacific, and New Zealanders can be proud that our Defence Force will play its part as Niue responds to the increase in COVID-19 cases,” Peeni Henare said.“All New Zealand-based travellers in Niue should follow local guidance and register their details with www.safetravel.govt.nz.",Long Sentence
Tourists and business travellers to Niue are required to have travel insurance to meet costs for medical treatment and travel delays.,Long Sentence
announced,Passive Voice
detected,Passive Voice
had,Passive Voice
provided,Passive Voice
aged,Passive Voice
vaccinated,Passive Voice
boosted,Passive Voice
shared,Passive Voice
deployed,Passive Voice
supplied,Passive Voice
required,Passive Voice
committed,Passive Voice
medical,Complex Word
following,Complex Word
opening,Complex Word
quarantine-free,Complex Word
week.Foreign,Complex Word
Minister,Complex Word
Minister,Complex Word
Medical,Complex Word
Assistance,Complex Word
Hercules,Complex Word
tomorrow,Complex Word
government,Complex Word
requested,Complex Word
support.The,Complex Word
quarantine-free,Complex Word
passenger,Complex Word
positive,Complex Word
detected,Complex Word
following,Complex Word
mandatory,Complex Word
passengers.,Complex Word
considerable,Complex Word
experiences,Complex Word
challenging,Complex Word
provided,Complex Word
pandemic,Complex Word
including,Complex Word
economic,Complex Word
assistance,Complex Word
principal,Complex Word
adviser,Complex Word
policy,Complex Word
enviable,Complex Word
vaccination,Complex Word
vaccinated,Complex Word
vaccination,Complex Word
physician,Complex Word
Polynesian,Complex Word
Corridors,Complex Word
laboratory,Complex Word
technician,Complex Word
Pacific,Complex Word
Pathology,Complex Word
travelling,Complex Word
Tomorrow,Complex Word
Medical,Complex Word
Assistance,Complex Word
logistics,Complex Word
personnel,Complex Word
Hercules,Complex Word
Personal,Complex Word
protective,Complex Word
equipment,Complex Word
additional,Complex Word
antigen,Complex Word
supplement,Complex Word
existing,Complex Word
addition,Complex Word
personnel,Complex Word
medical,Complex Word
logistics,Complex Word
expertise,Complex Word
directly,Complex Word
Government,Complex Word
alongside,Complex Word
Pacific,Complex Word
Zealanders,Complex Word
travellers,Complex Word
register,Complex Word
www.safetravel.govt.nz,Complex Word
travellers,Complex Word
required,Complex Word
insurance,Complex Word
medical,Complex Word
isolating,Complex Word
committed,Complex Word
supporting,Complex Word
