Text,Metric
"More support for RNA research through to pilot manufacturingRNA technology platform to be created to facilitate engagement between research and industry partnersResearchers and businesses working in the rapidly developing field of RNA technology will benefit from a new research and development platform, funded in Budget 2022.“RNA is a potentially transformative technology.",Long Sentence
"We have already seen the important impact it can make through the development of safe and effective vaccines for COVID-19 to protect those who live here in Aotearoa New Zealand,” Megan Woods said.“There is also a lot of potential to produce new vaccines, treatments and diagnostics that support wellbeing and better health outcomes in other areas such as cancer, and autoimmune and neurological disorders.“RNA technology offers an opportunity to develop applications in animal health, agriculture and aquaculture.",Long Sentence
"This investment is especially important to build our ability domestically to respond to future pandemics should we need to.”An investment of $40.7 million over four years will allow New Zealand to:develop its emerging strengths in this field, identify and address gaps in terms of capability and create high value jobsbridge engagement between researchers and industry partners to test and commercialise new approachessupport clinical testingfacilitate linkages with partners and institutions overseas.“New Zealand has incredible researchers and innovators.",Long Sentence
"Through the COVID-19 pandemic, we have seen how research and science have been vital to minimise the impact of the virus on our whānau.“An RNA platform will help put New Zealand researchers at the forefront of global efforts by increasing domestic and international collaborations.",Long Sentence
"We want to make sure that New Zealand starts investing in this now, bringing together key players across the industry, and unlocking and developing international relationships.",Long Sentence
"This will complement the investment the Government has already made in managing infectious disease,” Megan Woods said.“On occasion New Zealand needs vaccines that can’t be sourced from global suppliers, such as for meningococcal disease or rheumatic fever.",Long Sentence
"Having domestic RNA capability will help us better respond to the health needs of New Zealanders,” Ayesha Verrall said.The RNA platform will be run through the Ministry of Business, Innovation and Employment’s Strategic Science Investment Fund.",Long Sentence
created,Passive Voice
funded,Passive Voice
seen,Passive Voice
seen,Passive Voice
been,Passive Voice
made,Passive Voice
sourced,Passive Voice
run,Passive Voice
manufacturingRNA,Complex Word
technology,Complex Word
created,Complex Word
facilitate,Complex Word
engagement,Complex Word
industry,Complex Word
partnersResearchers,Complex Word
businesses,Complex Word
rapidly,Complex Word
developing,Complex Word
technology,Complex Word
benefit,Complex Word
development,Complex Word
potentially,Complex Word
transformative,Complex Word
technology,Complex Word
already,Complex Word
important,Complex Word
development,Complex Word
effective,Complex Word
potential,Complex Word
diagnostics,Complex Word
wellbeing,Complex Word
areas,Complex Word
autoimmune,Complex Word
neurological,Complex Word
disorders.,Complex Word
technology,Complex Word
opportunity,Complex Word
develop,Complex Word
applications,Complex Word
animal,Complex Word
agriculture,Complex Word
aquaculture,Complex Word
investment,Complex Word
especially,Complex Word
important,Complex Word
ability,Complex Word
domestically,Complex Word
investment,Complex Word
develop,Complex Word
emerging,Complex Word
identify,Complex Word
capability,Complex Word
jobsbridge,Complex Word
engagement,Complex Word
researchers,Complex Word
industry,Complex Word
commercialise,Complex Word
approachessupport,Complex Word
clinical,Complex Word
testingfacilitate,Complex Word
linkages,Complex Word
institutions,Complex Word
incredible,Complex Word
researchers,Complex Word
innovators,Complex Word
pandemic,Complex Word
researchers,Complex Word
increasing,Complex Word
domestic,Complex Word
international,Complex Word
collaborations,Complex Word
investing,Complex Word
together,Complex Word
industry,Complex Word
unlocking,Complex Word
developing,Complex Word
international,Complex Word
relationships,Complex Word
complement,Complex Word
investment,Complex Word
Government,Complex Word
already,Complex Word
managing,Complex Word
infectious,Complex Word
occasion,Complex Word
suppliers,Complex Word
meningococcal,Complex Word
rheumatic,Complex Word
domestic,Complex Word
capability,Complex Word
Zealanders,Complex Word
Ministry,Complex Word
Innovation,Complex Word
Employment,Complex Word
Strategic,Complex Word
Investment,Complex Word
