Text,Metric
"Government investment in regional economic development projects has passed a $2 billion milestone as support for jobs, businesses and infrastructure steps up a gear.Economic and Regional Development Minister Stuart Nash says funds administered by the Regional Economic Development & Investment Unit at MBIE (Kānoa-RDU) have now paid more than $2.1 billion to projects since 2018.“From the Provincial Growth Fund to the Infrastructure Reference Group’s shovel-ready projects, as well as other funds, we are backing communities all over the country and giving them confidence to keep investing,” Stuart Nash said.“It has been a priority to invest in regional infrastructure which had been previously run down.",Long Sentence
These investments are even more important as we respond to the economic shock caused by the global COVID-19 pandemic.“Some modest investments have proved to be the most valuable.,Long Sentence
"Organisations at the heart of communities, like marae and Pasifika churches, have become central in our COVID-19 vaccination and testing efforts.“As part of the PGF reset in 2020 we invested in smaller community initiatives to deal with the impact of COVID-19 on jobs and businesses.",Long Sentence
"Dozens of newly-renovated marae and Pasifika churches have become COVID-19 vaccine and testing centres.“For example last year Wharekawa Marae in north Waikato received $252,000 for renovation work on its buildings and grounds.",Long Sentence
"This September, it was the site of a pop-up testing facility that swabbed more than half its community after a local positive case.“Te Puna Ora o Mataatua’s Māori health academy in Whakatāne received a $2.95 million grant from Te Ara Mahi fund, so 300 young people could receive training and work placements.",Long Sentence
"Graduates are now helping deliver vaccines and tests in the Bay of Plenty.“One of the earliest PGF grants, to FI Innovations in Southland, was $370,000 to help buy equipment for large-scale 3D printing.",Long Sentence
"It can manufacture medical parts such as ventilator valves, should DHBs need them during the pandemic.“Other investments are significant for enabling development of infrastructure to secure regional jobs, businesses and economies in the face of global uncertainty.“In the north, the rail network between Swanson and Whangarei had been in managed decline.",Long Sentence
"Kānoa-RDU investment of $219 million transformed the 180 kilometre line which now carries modern shipping containers, removing thousands of trucks from the roads.“In Southland and Otago, grants of $7 million for manufacturing businesses and a training academy aretackling local skills shortage andhelping school leavers play a part in the region’s growingengineering sector.“In Rotorua, a PGF grant of $875,000 is helping to build a state-of-the-art film studio and establish training schemes to nurture the screen sector and upskill the local workforce.In Opotiki a new $112 million harbour and marine development will lead to an expanded aquaculture industry and unlock the economic potential of the town and its people.“The country’s largest fishing port of Nelson is getting a fit for purpose slipway to handle larger vessels.",Long Sentence
Wairoa’s rural bridges are being strengthened to handle the ‘wall of wood’ from the region’s exotic forest plantations.,Long Sentence
A Tāupo company has government backing to develop new techniques to harvest valuable silica from geothermal steam and old mines.“This infrastructure investment is well overdue.,Long Sentence
"We reached the $2 billion milestone just ten months after the $1 billion milestone in February 2021, which itself took three years to achieve.“While the $2 billion achievement is impressive, it is only half the story.",Long Sentence
"There is another $2 billion in investment in the pipeline, as Kānoa-RDU pays funds already allocated to projects, once they meet agreed milestones.“On top of that, the Regional Strategic Partnership Fund unveiled earlier this year is providing another $200 million as ‘seed funding’ for the regions.“I am excited to watch the investment of Kānoa funds continue to make a difference, as we build productive, sustainable, inclusive and resilient economies across New Zealand,” said Stuart Nash.Note for editorsKānoa-RDU was originally established in 2018 as the Provincial Development Unit within MBIE.",Long Sentence
"It has created around 13,000 jobs during the lifetime of the contracts, and now administers more than 1,700 projects worth $4.2 billion across six investment funds:Provincial Growth FundCOVID-19 Response and Recovery Fund (Infrastructure Reference Group)Regional Investment Opportunities (NZ Upgrade Programme)Strategic Tourism Assets Protection ProgrammeWorker Redeployment Package (COVID-19 Response)Regional Strategic Partnership FundN.B.",Long Sentence
"In July 2021 the skills and employment programmesHe Poutama Rangatahi, Māori Trades and Training FundandJobs and Skills Hubswere transferred from Kānoa in MBIE to the Ministry of Social Development.Kānoa-managed funds and funding by sector and region:Please see attached table",Long Sentence
passed,Passive Voice
administered,Passive Voice
paid,Passive Voice
been,Passive Voice
been,Passive Voice
run,Passive Voice
caused,Passive Voice
proved,Passive Voice
become,Passive Voice
come,Passive Voice
become,Passive Voice
been,Passive Voice
strengthened,Passive Voice
allocated,Passive Voice
established,Passive Voice
created,Passive Voice
attached,Passive Voice
Government,Complex Word
investment,Complex Word
regional,Complex Word
economic,Complex Word
development,Complex Word
businesses,Complex Word
infrastructure,Complex Word
gear.Economic,Complex Word
Regional,Complex Word
Development,Complex Word
Minister,Complex Word
administered,Complex Word
Regional,Complex Word
Economic,Complex Word
Development,Complex Word
Investment,Complex Word
Provincial,Complex Word
Infrastructure,Complex Word
Reference,Complex Word
shovel-ready,Complex Word
communities,Complex Word
confidence,Complex Word
investing,Complex Word
priority,Complex Word
regional,Complex Word
infrastructure,Complex Word
previously,Complex Word
investments,Complex Word
important,Complex Word
economic,Complex Word
pandemic.,Complex Word
investments,Complex Word
valuable,Complex Word
Organisations,Complex Word
communities,Complex Word
Pasifika,Complex Word
vaccination,Complex Word
invested,Complex Word
community,Complex Word
initiatives,Complex Word
businesses,Complex Word
investments,Complex Word
newly-renovated,Complex Word
Pasifika,Complex Word
example,Complex Word
renovation,Complex Word
September,Complex Word
facility,Complex Word
community,Complex Word
positive,Complex Word
academy,Complex Word
Graduates,Complex Word
deliver,Complex Word
earliest,Complex Word
Innovations,Complex Word
equipment,Complex Word
manufacture,Complex Word
medical,Complex Word
ventilator,Complex Word
pandemic.,Complex Word
investments,Complex Word
significant,Complex Word
enabling,Complex Word
development,Complex Word
infrastructure,Complex Word
regional,Complex Word
businesses,Complex Word
economies,Complex Word
uncertainty.,Complex Word
investment,Complex Word
kilometre,Complex Word
containers,Complex Word
removing,Complex Word
manufacturing,Complex Word
businesses,Complex Word
academy,Complex Word
aretackling,Complex Word
andhelping,Complex Word
growingengineering,Complex Word
state-of-the-art,Complex Word
studio,Complex Word
establish,Complex Word
workforce.In,Complex Word
development,Complex Word
expanded,Complex Word
aquaculture,Complex Word
industry,Complex Word
economic,Complex Word
potential,Complex Word
exotic,Complex Word
plantations,Complex Word
company,Complex Word
government,Complex Word
develop,Complex Word
