Text,Metric
"New Zealand Minister of Foreign Affairs, Hon Nanaia Mahuta and Australian Minister for Foreign Affairs and Minister for Women, Senator the Hon Marise Payne, met in Wellington today for biannual Australia-New Zealand Foreign Minister Consultations.Marise Payne’s visit is the first official visit to New Zealand by Australia since both countries imposed border restrictions in response to COVID-19 in March 2020.The Ministers welcomed the chance to meet in person for the first time, following the commencement of two-way quarantine-free travel on 19 April.The meeting provided an opportunity to discuss ways to continue and deepen cooperation between Australia and New Zealand to meet the shared challenges facing our region.New Zealand and Australia stand together in facing a challenging global environment.",Long Sentence
"They reaffirmed their intent to work together to preserve the liberal international order that has underpinned stability and prosperity in the region, and to foster a sustainable regional balance where all countries- large and small – can freely pursue their legitimate interests.The Ministers discussed responses to increasing pressure on the international rules-based system and rising protectionism, and agreed on the need for coordinated regional and global action on issues such as human rights and climate change, including work Australia and New Zealand are doing together to strengthen the climate resilience of our Pacific island partners.The Ministers also highlighted the importance of strengthening gender equality, including promoting women in leadership in the Pacific and initiatives on sexual and reproductive health and rights.Minister Payne and Minister Mahuta agreed on the value of coordinating with other likeminded countries and building broad coalitions on issues of common interest.Ministers also reiterated both governments’ commitment to a resilient and united Pacific region underpinned by robust regional architecture, and to continuing to help Pacific island countries manage the health and economic impacts of COVID-19, including support for the rollout of vaccines.The two Ministers welcomed progress on the Australia-New Zealand Single Economic Market agenda.",Long Sentence
"They acknowledged the contribution quarantine-free travel would make to the economic recovery in both countries, especially in the travel and tourism sectors.",Long Sentence
The Ministers also discussed the situation of New Zealanders living and working in Australia.The Ministers reaffirmed the closeness and importance of the Australia-New Zealand relationship.“Australia is New Zealand’s closest and most important international partner.,Long Sentence
It’s appropriate that Minister Payne was the first counterpart I have welcomed from overseas since becoming Foreign Minister” said Nanaia Mahuta.“New Zealand also looks forward to welcoming Australian Prime Minister Scott Morrison for our annual leaders’ talks.”Marise Payne expressed appreciation for New Zealand’s warmth and hospitality.,Long Sentence
"“I look forward to continuing our strong tradition of trans-Tasman partnership, working closely with Minister Mahuta to promote even closer economic ties and personal connections between Australia and New Zealand.”ENDS",Long Sentence
imposed,Passive Voice
shared,Passive Voice
underpinned,Passive Voice
underpinned,Passive Voice
welcomed,Passive Voice
Minister,Complex Word
Hon,Complex Word
Australian,Complex Word
Minister,Complex Word
Minister,Complex Word
Senator,Complex Word
Hon,Complex Word
Wellington,Complex Word
biannual,Complex Word
Minister,Complex Word
Consultations.Marise,Complex Word
official,Complex Word
Australia,Complex Word
restrictions,Complex Word
Ministers,Complex Word
following,Complex Word
commencement,Complex Word
quarantine-free,Complex Word
provided,Complex Word
opportunity,Complex Word
continue,Complex Word
cooperation,Complex Word
Australia,Complex Word
challenges,Complex Word
region.New,Complex Word
Australia,Complex Word
together,Complex Word
challenging,Complex Word
environment,Complex Word
Ministers,Complex Word
importance,Complex Word
promoting,Complex Word
interests,Complex Word
resilient,Complex Word
prosperous,Complex Word
Indo-Pacific,Complex Word
reaffirmed,Complex Word
together,Complex Word
liberal,Complex Word
international,Complex Word
underpinned,Complex Word
stability,Complex Word
prosperity,Complex Word
sustainable,Complex Word
regional,Complex Word
legitimate,Complex Word
interests.The,Complex Word
Ministers,Complex Word
responses,Complex Word
increasing,Complex Word
international,Complex Word
protectionism,Complex Word
coordinated,Complex Word
regional,Complex Word
including,Complex Word
Australia,Complex Word
together,Complex Word
resilience,Complex Word
Pacific,Complex Word
partners.The,Complex Word
Ministers,Complex Word
highlighted,Complex Word
importance,Complex Word
strengthening,Complex Word
equality,Complex Word
including,Complex Word
promoting,Complex Word
leadership,Complex Word
Pacific,Complex Word
initiatives,Complex Word
sexual,Complex Word
reproductive,Complex Word
rights.Minister,Complex Word
Minister,Complex Word
coordinating,Complex Word
likeminded,Complex Word
coalitions,Complex Word
interest.Ministers,Complex Word
reiterated,Complex Word
governments,Complex Word
commitment,Complex Word
resilient,Complex Word
united,Complex Word
Pacific,Complex Word
underpinned,Complex Word
regional,Complex Word
architecture,Complex Word
continuing,Complex Word
Pacific,Complex Word
economic,Complex Word
including,Complex Word
vaccines.The,Complex Word
Ministers,Complex Word
Economic,Complex Word
agenda,Complex Word
acknowledged,Complex Word
contribution,Complex Word
quarantine-free,Complex Word
economic,Complex Word
recovery,Complex Word
especially,Complex Word
tourism,Complex Word
Ministers,Complex Word
situation,Complex Word
Zealanders,Complex Word
Ministers,Complex Word
reaffirmed,Complex Word
importance,Complex Word
relationship.,Complex Word
Australia,Complex Word
important,Complex Word
international,Complex Word
appropriate,Complex Word
Minister,Complex Word
counterpart,Complex Word
overseas,Complex Word
becoming,Complex Word
Minister,Complex Word
welcoming,Complex Word
Australian,Complex Word
Minister,Complex Word
Morrison,Complex Word
annual,Complex Word
appreciation,Complex Word
hospitality,Complex Word
continuing,Complex Word
tradition,Complex Word
partnership,Complex Word
Minister,Complex Word
economic,Complex Word
personal,Complex Word
connections,Complex Word
Australia,Complex Word
