Text,Metric
European Commission President von der Leyen and Prime Minister of New Zealand Ardern met in Brussels on 30 June 2022.,Long Sentence
"The encounter provided an opportunity to reaffirm that the European Union and Aotearoa New Zealand are longstanding partners with shared democratic values and interests, aligned positions on key international and regional issues, strong people-to-people ties, and a growing and mutually-beneficial trade and economic relationship.",Long Sentence
"The leaders reaffirmed New Zealand’s and the European Union’s strong commitment to multilateralism and the rules based international order.The leaders resolutely condemned Russia’s unprovoked and unjustified war of aggression against Ukraine and reaffirmed their unwavering support to Ukraine's independence, sovereignty and territorial integrity within its internationally recognised borders.",Long Sentence
"They urged Russia to immediately stop its indiscriminate attacks against civilians and civilian infrastructure in Ukraine, and withdraw all its troops and military equipment from the entire territory of Ukraine.",Long Sentence
"They condemned the widespread and credible reports of atrocities being committed by Russian forces, and stressed the need for ensuring accountability for the suffering and destruction in Ukraine.",Long Sentence
"They recalled the close coordination between the EU and New Zealand on the adoption of unprecedented sanctions against Russia and Belarus, on the diplomatic response  in multilateral organisations, and on other forms of assistance to help Ukraine.",Long Sentence
"They confirmed their commitment to address, together with like-minded partners, Russia’s disinformation as well as the global consequences of Russia’s aggression against Ukraine, including food insecurity.",Long Sentence
"In this respect, the EU and New Zealand are committed to working together to keep food and agricultural markets open and well-functioning and to strengthen global supply chains.The leaders announced the conclusion of negotiations of a comprehensive trade agreement that includes a number of ‘firsts’.",Long Sentence
"The agreement will deliver important economic, commercial and broader benefits to consumers, small and large businesses and farmers in New Zealand and in the European Union as our economies deal with the ongoing impact of Russia’s military aggression against Ukraine, and the recovery from the COVID-19 pandemic.",Long Sentence
"The leaders welcomed the agreement’s ground-breaking commitments on trade and sustainable development, including on the Paris Climate Agreement, core labour rights, gender equality and fisheries subsidies.",Long Sentence
"They rated highly the liberalisation of environmental goods and services related to climate change mitigation, as well as the unprecedented cooperation arrangements to improve the sustainability of our respective food systems.",Long Sentence
"They committed to completing all relevant domestic procedures without delay, so that the agreement can be signed, ratified and enter into force as soon as possible.",Long Sentence
